time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.026402,0.044008,0.082098,0.115275,-0.045850,0.001792,0.077858,-0.015765,0.079438,0.027685
2.000000,-0.004824,-0.000287,-0.043405,-0.037914,0.014840,0.003656,0.105419,-0.030709,0.109801,0.038230
3.000000,-0.008963,-0.000999,-0.027041,-0.050959,0.023791,0.004201,0.053352,-0.016125,0.055736,0.019435
4.000000,-0.010009,-0.004686,-0.050537,-0.081314,0.032897,0.005915,-0.025107,0.004951,0.025591,0.008927
5.000000,-0.002749,0.000901,-0.060148,-0.090351,0.033254,0.007956,-0.123445,0.030809,0.127232,0.044268
6.000000,0.022946,0.031618,0.022401,0.015412,-0.009252,0.006008,-0.154523,0.042531,0.160269,0.055675
7.000000,0.054357,0.075903,0.098577,0.131237,-0.055462,0.007799,-0.058511,0.020411,0.061969,0.021606
8.000000,0.056037,0.085199,0.059758,0.113462,-0.045238,0.012481,0.078513,-0.019137,0.080812,0.028162
9.000000,0.024494,0.043619,-0.031865,-0.021017,0.013966,0.011793,0.116420,-0.034602,0.121453,0.042268
10.000000,0.022383,0.041890,-0.010979,-0.024994,0.015311,0.009858,0.089476,-0.024167,0.092682,0.032288
11.000000,0.016886,0.029485,-0.050526,-0.075490,0.029545,0.009820,0.026835,-0.008267,0.028080,0.009795
12.000000,0.020662,0.031524,-0.060497,-0.094291,0.035017,0.011132,-0.071501,0.016661,0.073416,0.025590
13.000000,0.039138,0.052113,-0.004244,-0.024925,0.007334,0.009356,-0.131594,0.035038,0.136179,0.047363
14.000000,0.088988,0.123007,0.132013,0.168276,-0.070138,0.010907,-0.029369,0.015076,0.033012,0.011515
15.000000,0.090804,0.132310,0.056513,0.133851,-0.053277,0.017693,0.138017,-0.034855,0.142350,0.049495
16.000000,0.044300,0.065359,-0.086915,-0.082402,0.041578,0.016981,0.143591,-0.045257,0.150554,0.052326
17.000000,0.043584,0.055851,-0.143057,-0.236557,0.100608,0.030149,-0.053356,0.006492,0.053750,0.018743
18.000000,0.107865,0.118703,0.023964,-0.036724,0.004622,0.027987,-0.186348,0.055152,0.194338,0.067374
19.000000,0.157762,0.170804,0.123382,0.139454,-0.069025,0.023419,-0.108177,0.036334,0.114116,0.039726
20.000000,0.148515,0.152923,0.031848,0.077986,-0.032815,0.022358,0.009112,-0.004046,0.009970,0.003478
21.000000,0.140298,0.143016,0.023839,0.060411,-0.015663,0.017841,0.085448,-0.024022,0.088760,0.030926
22.000000,0.134973,0.131679,0.006715,0.038628,-0.009548,0.013683,0.138807,-0.035744,0.143335,0.049835
23.000000,0.120963,0.107230,-0.040016,-0.026623,0.011672,0.010585,0.138237,-0.037270,0.143173,0.049779
24.000000,0.103099,0.078515,-0.143174,-0.206170,0.083448,0.018618,-0.012862,-0.004498,0.013626,0.004754
25.000000,0.146389,0.126386,-0.008424,-0.072407,0.025502,0.019741,-0.156303,0.042491,0.161976,0.056263
26.000000,0.197133,0.182671,0.122837,0.125478,-0.057956,0.014968,-0.104536,0.035176,0.110296,0.038401
27.000000,0.184951,0.156123,0.015872,0.048139,-0.023065,0.013684,-0.013798,0.002664,0.014053,0.004903
28.000000,0.166668,0.127613,-0.018240,-0.018663,0.011895,0.010066,-0.004070,-0.002507,0.004780,0.001668
29.000000,0.176278,0.137826,0.034073,0.034601,-0.009904,0.006344,0.010541,-0.000924,0.010581,0.003692
30.000000,0.177478,0.134765,0.016636,0.038490,-0.017126,0.004292,0.052406,-0.011565,0.053667,0.018714
31.000000,0.166463,0.120409,-0.013252,0.006888,-0.004020,0.002723,0.074792,-0.020321,0.077503,0.027012
32.000000,0.152141,0.103478,-0.036539,-0.039856,0.017576,0.001945,0.051064,-0.015926,0.053490,0.018652
33.000000,0.144817,0.093171,-0.049901,-0.079975,0.033675,0.003100,-0.021248,0.002988,0.021457,0.007485
34.000000,0.153878,0.102032,-0.014058,-0.047151,0.018014,0.002933,-0.089925,0.023562,0.092961,0.032385
35.000000,0.177168,0.131900,0.062902,0.063596,-0.028024,0.001032,-0.068768,0.021698,0.072110,0.025136
36.000000,0.199038,0.167487,0.086669,0.143657,-0.060001,0.004754,0.057334,-0.010608,0.058307,0.020330
37.000000,0.156751,0.107511,-0.066509,-0.042008,0.019371,0.005458,0.095327,-0.030382,0.100052,0.034847
38.000000,0.141181,0.083191,-0.124172,-0.199252,0.085618,0.014881,-0.057929,0.007313,0.058389,0.020359
39.000000,0.202434,0.152793,0.086797,0.045798,-0.021411,0.011479,-0.118906,0.038276,0.124915,0.043466
40.000000,0.248176,0.209093,0.121430,0.182732,-0.082085,0.014607,0.025287,0.001340,0.025322,0.008833
41.000000,0.212742,0.158456,-0.037748,0.031367,-0.010393,0.014670,0.130543,-0.039233,0.136311,0.047408
42.000000,0.180412,0.108298,-0.120245,-0.158920,0.074368,0.017034,0.037743,-0.018871,0.042198,0.014717
43.000000,0.210622,0.133608,-0.017358,-0.085292,0.035077,0.017816,-0.092873,0.025976,0.096437,0.033592
44.000000,0.259640,0.185409,0.104341,0.106942,-0.051646,0.012289,-0.059947,0.023924,0.064545,0.022502
45.000000,0.252570,0.170122,0.018844,0.067563,-0.032285,0.011071,0.035044,-0.009436,0.036292,0.012659
46.000000,0.222657,0.128522,-0.050724,-0.044474,0.023003,0.008266,0.036263,-0.015149,0.039300,0.013707
47.000000,0.224497,0.128825,-0.004862,-0.025364,0.015620,0.005534,-0.001460,0.000052,0.001461,0.000510
48.000000,0.229643,0.129272,0.006054,-0.003201,-0.000575,0.002744,-0.015342,0.006044,0.016490,0.005753
49.000000,0.226457,0.123107,-0.003178,-0.004962,-0.001344,0.000704,-0.020135,0.005311,0.020824,0.007264
50.000000,0.236162,0.142711,0.045899,0.067981,-0.027142,-0.000684,0.023399,-0.004283,0.023788,0.008298
51.000000,0.214769,0.114428,-0.026769,-0.011883,0.005242,-0.000973,0.046827,-0.014177,0.048926,0.017062
52.000000,0.200916,0.097946,-0.043685,-0.064870,0.028060,-0.000361,-0.002392,-0.002182,0.003238,0.001130
53.000000,0.197859,0.092073,-0.047850,-0.097534,0.039447,0.002271,-0.098012,0.023207,0.100722,0.035080
54.000000,0.228280,0.131859,0.067924,0.048910,-0.021305,0.000028,-0.110065,0.032810,0.114851,0.039981
55.000000,0.285846,0.219851,0.152530,0.234134,-0.098103,0.009275,0.069884,-0.009274,0.070497,0.024574
56.000000,0.245306,0.167191,-0.044816,0.054841,-0.017762,0.013457,0.214462,-0.060618,0.222864,0.077110
57.000000,0.205850,0.104953,-0.204771,-0.270362,0.122438,0.025731,0.057224,-0.028745,0.064038,0.022326
58.000000,0.272836,0.164553,-0.025830,-0.139171,0.050684,0.033902,-0.160258,0.045310,0.166540,0.057834
59.000000,0.352874,0.242506,0.170323,0.154846,-0.078610,0.024347,-0.119079,0.043279,0.126700,0.044084
60.000000,0.360884,0.241265,0.056375,0.136192,-0.060100,0.024309,0.044198,-0.011279,0.045614,0.015908
61.000000,0.316572,0.169948,-0.077481,-0.047121,0.029440,0.017956,0.075181,-0.028062,0.080247,0.027966
62.000000,0.309752,0.144564,-0.072803,-0.135595,0.062399,0.017999,-0.037691,0.005922,0.038153,0.013308
63.000000,0.350663,0.180454,0.064225,0.021971,-0.013680,0.011403,-0.085387,0.028768,0.090103,0.031392
64.000000,0.371580,0.201079,0.071347,0.103697,-0.049885,0.007816,-0.005272,0.005941,0.007943,0.002771
65.000000,0.352686,0.178068,-0.004274,0.050265,-0.019819,0.005545,0.076465,-0.022345,0.079663,0.027763
66.000000,0.331285,0.153523,-0.029303,-0.003882,0.007596,0.002154,0.096976,-0.028073,0.100958,0.035162
67.000000,0.323224,0.144227,-0.023344,-0.016320,0.009107,-0.000452,0.084125,-0.021916,0.086933,0.030291
68.000000,0.305664,0.120294,-0.077548,-0.107421,0.041583,0.000894,0.004273,-0.004275,0.006044,0.002109
69.000000,0.308308,0.124702,-0.056314,-0.125601,0.049024,0.004899,-0.129639,0.030646,0.133212,0.046337
70.000000,0.343575,0.169669,0.089351,0.049084,-0.021679,0.000967,-0.154484,0.044642,0.160805,0.055859
71.000000,0.368289,0.204105,0.107144,0.137170,-0.059349,0.002039,-0.039243,0.015455,0.042177,0.014710
72.000000,0.337211,0.161011,-0.021363,0.012439,-0.004404,0.001583,0.032596,-0.011834,0.034678,0.012096
73.000000,0.323467,0.147039,-0.011192,-0.011441,0.009740,-0.000994,0.030607,-0.009884,0.032163,0.011219
74.000000,0.333152,0.163995,0.036425,0.056999,-0.021770,-0.003282,0.063712,-0.013309,0.065087,0.022691
75.000000,0.321246,0.151362,-0.012871,0.028915,-0.014811,-0.003993,0.109661,-0.027768,0.113122,0.039381
76.000000,0.290823,0.116753,-0.085313,-0.091475,0.037015,-0.002679,0.061459,-0.021136,0.064992,0.022658
77.000000,0.295307,0.130506,-0.019295,-0.049313,0.022590,-0.002180,-0.014044,0.002650,0.014292,0.004986
78.000000,0.297691,0.133318,-0.003886,-0.025666,0.008956,-0.003321,-0.054152,0.014839,0.056148,0.019578
79.000000,0.299068,0.136822,0.015035,0.003848,-0.003646,-0.004806,-0.063468,0.017174,0.065751,0.022922
80.000000,0.287977,0.123357,-0.005900,-0.024501,0.009441,-0.005316,-0.078305,0.018689,0.080504,0.028056
81.000000,0.278515,0.111338,-0.014006,-0.053725,0.023327,-0.004717,-0.126005,0.030385,0.129617,0.045094
82.000000,0.323115,0.180156,0.137561,0.148854,-0.059343,-0.004012,-0.050456,0.020309,0.054390,0.018966
83.000000,0.341012,0.213349,0.074248,0.175647,-0.073654,0.005572,0.136226,-0.030981,0.139704,0.048581
84.000000,0.297412,0.160568,-0.064221,0.022558,-0.003955,0.006062,0.232340,-0.065349,0.241355,0.083388
85.000000,0.262447,0.114510,-0.159240,-0.198207,0.090114,0.012926,0.108666,-0.037806,0.115055,0.040051
86.000000,0.297714,0.150565,-0.058903,-0.144022,0.056702,0.020082,-0.079514,0.020964,0.082231,0.028656
87.000000,0.332541,0.178299,0.037500,-0.013684,-0.005238,0.013503,-0.154648,0.044943,0.161046,0.055942
88.000000,0.342031,0.181647,0.056394,0.038189,-0.021931,0.007302,-0.134720,0.036526,0.139584,0.048539
89.000000,0.354373,0.201100,0.088021,0.105729,-0.041591,0.004704,-0.045678,0.013934,0.047756,0.016655
90.000000,0.351738,0.200285,0.043623,0.097274,-0.036536,0.004273,0.068587,-0.016559,0.070558,0.024595
91.000000,0.321425,0.157229,-0.047833,-0.018082,0.009818,0.001956,0.101308,-0.029236,0.105442,0.036718
92.000000,0.310653,0.145466,-0.037986,-0.043612,0.019861,0.000056,0.063518,-0.018177,0.066068,0.023033
93.000000,0.311804,0.149407,-0.010917,-0.014568,0.005293,-0.002111,0.033543,-0.008091,0.034505,0.012036
94.000000,0.296027,0.128559,-0.058486,-0.083052,0.031390,-0.001689,-0.029079,0.004641,0.029447,0.010272
95.000000,0.302299,0.140537,0.002809,-0.032824,0.013648,-0.002541,-0.089605,0.022830,0.092468,0.032214
96.000000,0.327062,0.178032,0.087157,0.095591,-0.039249,-0.003953,-0.040367,0.015166,0.043122,0.015040
97.000000,0.306720,0.149891,-0.008373,0.015694,-0.008501,-0.003729,0.014416,-0.004848,0.015209,0.005306
98.000000,0.289612,0.132358,-0.021506,-0.026698,0.012991,-0.004462,0.003685,-0.003557,0.005122,0.001787
99.000000,0.294469,0.144920,0.027637,0.028274,-0.009195,-0.005813,0.010388,-0.001153,0.010452,0.003646
100.000000,0.277857,0.122678,-0.029554,-0.032969,0.011511,-0.005770,0.001239,-0.001444,0.001903,0.000664
101.000000,0.282976,0.137748,0.024239,0.028360,-0.011292,-0.006692,0.005138,-0.000167,0.005141,0.001793
102.000000,0.276146,0.134065,0.008150,0.026275,-0.011399,-0.006722,0.036011,-0.008835,0.037079,0.012933
103.000000,0.256532,0.112368,-0.035901,-0.037010,0.014892,-0.006136,0.023251,-0.008388,0.024718,0.008623
104.000000,0.247078,0.104681,-0.034981,-0.064451,0.027498,-0.004589,-0.037321,0.007337,0.038035,0.013266
105.000000,0.271676,0.143607,0.066418,0.069957,-0.027988,-0.005553,-0.019958,0.009424,0.022071,0.007699
106.000000,0.281363,0.163218,0.053073,0.112999,-0.048932,-0.002328,0.088544,-0.019282,0.090619,0.031572
107.000000,0.227818,0.087812,-0.147788,-0.169782,0.070380,0.003346,0.026366,-0.016768,0.031246,0.010899
108.000000,0.247579,0.112327,-0.075236,-0.182064,0.075667,0.015843,-0.173656,0.041247,0.178487,0.061940
109.000000,0.333624,0.214740,0.194924,0.161436,-0.072649,0.011384,-0.148201,0.050900,0.156698,0.054445
110.000000,0.379950,0.273866,0.121372,0.230870,-0.100413,0.022971,0.081129,-0.014970,0.082499,0.028749
111.000000,0.318637,0.179706,-0.108914,-0.030237,0.022987,0.019730,0.166827,-0.053846,0.175302,0.060846
112.000000,0.307539,0.154174,-0.084283,-0.113754,0.058849,0.017732,0.075577,-0.024967,0.079594,0.027739
113.000000,0.330484,0.166504,-0.011251,-0.051516,0.018898,0.013531,-0.011830,0.006193,0.013353,0.004658
114.000000,0.333813,0.158884,-0.021086,-0.047880,0.011170,0.008445,-0.067630,0.018042,0.069995,0.024400
115.000000,0.342278,0.170144,0.034426,0.022342,-0.010923,0.003294,-0.074567,0.019776,0.077145,0.026887
116.000000,0.357877,0.196091,0.077067,0.108816,-0.042760,0.001388,0.009057,0.000854,0.009097,0.003174
117.000000,0.331712,0.159247,-0.025443,0.007628,-0.002443,0.000122,0.064506,-0.018682,0.067157,0.023412
118.000000,0.305487,0.123769,-0.083248,-0.119608,0.050916,0.001933,-0.012466,-0.002249,0.012667,0.004419
119.000000,0.324272,0.148581,0.020565,-0.025321,0.011237,0.000601,-0.084808,0.023629,0.088038,0.030675
120.000000,0.345752,0.176455,0.072530,0.079902,-0.035816,-0.001852,-0.042642,0.015858,0.045495,0.015867
121.000000,0.343583,0.178124,0.034766,0.084907,-0.037118,-0.001162,0.051515,-0.012019,0.052899,0.018446
122.000000,0.321323,0.156223,-0.015358,0.029087,-0.009439,-0.001959,0.110407,-0.030769,0.114614,0.039899
123.000000,0.291332,0.119110,-0.081686,-0.096796,0.042918,-0.000725,0.058627,-0.020130,0.061987,0.021612
124.000000,0.291535,0.120179,-0.065132,-0.129836,0.053486,0.004217,-0.073346,0.016371,0.075151,0.026194
125.000000,0.316112,0.147803,0.030321,-0.020999,0.004698,0.002215,-0.147377,0.041079,0.152995,0.053168
126.000000,0.360374,0.210576,0.137863,0.162494,-0.070595,0.002457,-0.047412,0.019687,0.051337,0.017902
127.000000,0.363127,0.222168,0.049756,0.150218,-0.060994,0.008690,0.128440,-0.032232,0.132423,0.046064
128.000000,0.306947,0.142285,-0.120429,-0.092051,0.045444,0.007748,0.135575,-0.044055,0.142553,0.049565
129.000000,0.308184,0.140836,-0.071894,-0.128288,0.058268,0.010874,0.006552,-0.004903,0.008183,0.002855
130.000000,0.333465,0.162604,0.010017,-0.036128,0.009940,0.007646,-0.076945,0.023514,0.080458,0.028039
131.000000,0.335048,0.156603,0.002775,-0.024178,0.002854,0.003322,-0.109702,0.028870,0.113437,0.039491
132.000000,0.346271,0.175171,0.064937,0.060128,-0.024507,-0.000321,-0.080285,0.022285,0.083320,0.029035
133.000000,0.352753,0.189099,0.065062,0.099825,-0.039164,-0.000606,0.014746,-0.001387,0.014811,0.005167
134.000000,0.343248,0.181792,0.017229,0.077327,-0.030174,-0.000314,0.112938,-0.028558,0.116493,0.040550
135.000000,0.305697,0.132392,-0.084352,-0.075042,0.032416,-0.000480,0.098122,-0.030452,0.102739,0.035780
136.000000,0.301086,0.130753,-0.057064,-0.098891,0.042672,0.001680,-0.003152,-0.002002,0.003734,0.001303
137.000000,0.317863,0.151952,0.015764,-0.012243,0.003222,-0.000481,-0.057102,0.017148,0.059621,0.020788
138.000000,0.312769,0.142289,-0.005147,-0.022180,0.005020,-0.002509,-0.077693,0.019929,0.080208,0.027953
139.000000,0.332833,0.178047,0.082014,0.099039,-0.039891,-0.003758,-0.021194,0.008874,0.022977,0.008015
140.000000,0.317204,0.160467,0.007588,0.046350,-0.018880,-0.003149,0.055841,-0.014801,0.057769,0.020143
141.000000,0.285972,0.120325,-0.069228,-0.080849,0.034907,-0.002353,0.022815,-0.010758,0.025224,0.008799
142.000000,0.295784,0.138335,0.012974,-0.010866,0.006852,-0.003414,-0.021913,0.006666,0.022904,0.007990
143.000000,0.309215,0.158915,0.046884,0.066101,-0.029104,-0.004597,0.017626,-0.000712,0.017640,0.006154
144.000000,0.283848,0.125972,-0.041788,-0.028772,0.008886,-0.004504,0.028851,-0.010132,0.030578,0.010666
145.000000,0.275579,0.123269,-0.015596,-0.028990,0.014290,-0.004827,-0.003983,-0.001003,0.004107,0.001433
146.000000,0.271933,0.121005,-0.006121,-0.024890,0.011328,-0.005127,-0.034209,0.008634,0.035282,0.012306
147.000000,0.257916,0.099755,-0.057240,-0.104724,0.040834,-0.002281,-0.116297,0.027011,0.119393,0.041554
148.000000,0.307607,0.174069,0.134375,0.132191,-0.053825,-0.003111,-0.075512,0.026563,0.080048,0.027897
149.000000,0.330571,0.213308,0.087228,0.179286,-0.075575,0.005825,0.105991,-0.022727,0.108400,0.037744
150.000000,0.286159,0.157129,-0.063320,0.014318,-0.000941,0.006363,0.198269,-0.056831,0.206253,0.071448
151.000000,0.258250,0.121926,-0.101149,-0.114713,0.054773,0.007235,0.127156,-0.039096,0.133031,0.046274
152.000000,0.263872,0.123054,-0.122001,-0.215285,0.087242,0.019096,-0.070098,0.013608,0.071407,0.024891
153.000000,0.310325,0.166138,0.014548,-0.074368,0.019393,0.018357,-0.218632,0.060792,0.226926,0.078491
154.000000,0.349218,0.204585,0.126530,0.091016,-0.046234,0.011096,-0.190649,0.055554,0.198578,0.068825
155.000000,0.398312,0.275009,0.162186,0.225552,-0.093933,0.016824,0.003330,0.005535,0.006459,0.002254
156.000000,0.380332,0.251390,0.001030,0.126840,-0.042524,0.019370,0.191926,-0.052901,0.199083,0.068997
157.000000,0.327816,0.162515,-0.169977,-0.162785,0.079043,0.018125,0.140093,-0.046947,0.147750,0.051359
158.000000,0.356424,0.182128,-0.061982,-0.138833,0.057882,0.021303,-0.028613,0.006958,0.029447,0.010272
159.000000,0.401520,0.221246,0.068647,0.042898,-0.026520,0.012205,-0.063741,0.023326,0.067875,0.023662
160.000000,0.402732,0.214974,0.028016,0.060512,-0.030793,0.006593,-0.003015,0.001568,0.003398,0.001186
161.000000,0.385209,0.193971,-0.005352,0.027284,-0.008053,0.002152,0.043332,-0.013921,0.045513,0.015873
162.000000,0.354420,0.147803,-0.084705,-0.123376,0.054430,0.002848,-0.027010,0.001129,0.027034,0.009430
163.000000,0.369055,0.162013,0.003374,-0.068324,0.028136,0.002741,-0.129905,0.034465,0.134399,0.046748
164.000000,0.431787,0.247157,0.168226,0.185944,-0.080618,0.001884,-0.036094,0.019632,0.041088,0.014330
165.000000,0.418885,0.230390,0.008433,0.109430,-0.047286,0.006176,0.123326,-0.032590,0.127559,0.044382
166.000000,0.364628,0.154456,-0.141911,-0.139099,0.064559,0.006499,0.080141,-0.031347,0.086054,0.029985
167.000000,0.378485,0.166696,-0.048531,-0.132158,0.058627,0.010923,-0.072805,0.017043,0.074773,0.026062
168.000000,0.429124,0.221054,0.109632,0.083364,-0.040145,0.004382,-0.077615,0.028831,0.082797,0.028853
169.000000,0.436363,0.227557,0.049898,0.108288,-0.051348,0.003497,0.033865,-0.006121,0.034414,0.012004
170.000000,0.406039,0.192811,-0.031542,0.026124,-0.007538,0.000808,0.101522,-0.030551,0.106019,0.036918
171.000000,0.373128,0.149513,-0.094800,-0.120374,0.055586,0.001656,0.032553,-0.014853,0.035781,0.012481
172.000000,0.384689,0.161523,-0.020084,-0.085079,0.035446,0.002688,-0.080247,0.021147,0.082987,0.028919
173.000000,0.425675,0.214433,0.107270,0.106603,-0.048528,-0.001329,-0.047701,0.019784,0.051641,0.018008
174.000000,0.404179,0.184429,-0.010041,0.027309,-0.015579,-0.002363,0.020057,-0.006787,0.021174,0.007387
175.000000,0.373381,0.147763,-0.062087,-0.082977,0.037592,-0.002678,-0.023155,-0.000071,0.023155,0.008078
176.000000,0.384981,0.167212,0.035724,0.001062,0.003858,-0.004899,-0.060896,0.017399,0.063333,0.022080
177.000000,0.402177,0.192365,0.069073,0.088554,-0.038777,-0.006183,-0.000767,0.005338,0.005393,0.001881
178.000000,0.380542,0.167282,-0.015910,0.021395,-0.012092,-0.006292,0.054683,-0.015378,0.056804,0.019807
