time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.005150,0.004087,0.010731,0.015980,-0.014168,0.000095,0.010448,-0.001075,0.010503,0.003151
2.000000,-0.011393,-0.001349,-0.058686,-0.079102,0.066757,0.006695,-0.036758,-0.001824,0.036803,0.011038
3.000000,0.017243,0.023135,0.024903,0.024097,0.009013,0.008080,-0.042326,0.027749,0.050611,0.015177
4.000000,0.039060,0.018247,0.034208,0.005671,-0.051592,0.006984,-0.032191,0.028920,0.043274,0.012978
5.000000,0.061789,0.032209,0.041209,0.054487,-0.102568,0.007872,0.004552,0.000407,0.004570,0.001371
6.000000,0.031378,0.039045,-0.008663,0.063605,-0.039915,0.004331,0.060172,-0.049015,0.077609,0.023259
7.000000,-0.020907,0.027669,-0.149581,-0.116357,0.225774,0.032259,0.002721,-0.052300,0.052371,0.015704
8.000000,0.053623,0.036948,0.008003,-0.076715,0.151214,0.034339,-0.075279,0.067288,0.100968,0.030239
9.000000,0.240366,0.066232,0.244783,0.054258,-0.285962,0.050519,-0.061751,0.120197,0.135131,0.040416
10.000000,0.343049,0.061834,0.006890,0.087392,-0.289906,0.047460,0.005932,-0.042431,0.042844,0.012849
11.000000,0.051227,0.040620,-0.255756,0.062035,0.310071,0.020508,0.070656,-0.170760,0.184801,0.055125
12.000000,0.176737,0.019026,0.036273,-0.000202,0.359559,0.006968,0.083708,0.008808,0.084170,0.025221
13.000000,0.441909,-0.001033,0.399042,-0.039524,-0.398505,-0.016915,0.056092,0.163066,0.172444,0.051477
14.000000,0.636373,0.014553,-0.153990,-0.067131,-0.304560,-0.021599,0.004607,-0.069281,0.069434,0.020813
15.000000,0.334551,0.053271,-0.451246,-0.106857,0.607192,0.037803,-0.078465,-0.171587,0.188677,0.056268
16.000000,0.982344,0.059612,0.496170,-0.018403,0.084799,0.054787,-0.112528,0.184911,0.216459,0.064432
17.000000,1.325180,0.046421,0.460367,0.126807,-0.632819,0.082558,-0.047084,0.142046,0.149646,0.044726
18.000000,1.123561,-0.047338,-0.717848,0.091348,0.155208,0.080701,0.054243,-0.197891,0.205191,0.061126
19.000000,1.150983,-0.206556,-0.090137,-0.091211,0.521826,0.080268,0.038621,-0.036031,0.052819,0.015838
20.000000,1.439728,-0.225876,0.730850,-0.003241,-0.405308,0.124347,0.008826,0.194558,0.194758,0.058059
21.000000,1.625020,-0.287769,-0.262909,0.128915,-0.344851,0.126576,0.064760,-0.085187,0.107008,0.032041
22.000000,0.911662,-0.403390,-0.466863,0.006300,0.485889,0.177787,0.107240,-0.203338,0.229884,0.068359
23.000000,1.095728,-0.514428,0.419635,-0.148064,0.287611,0.160997,0.035962,0.076744,0.084752,0.025395
24.000000,0.940060,-0.565772,0.435066,-0.074389,-0.365811,0.163036,-0.059414,0.168130,0.178319,0.053213
25.000000,0.887057,-0.538855,-0.285094,0.068915,-0.270858,0.134698,-0.057140,-0.034409,0.066701,0.019995
26.000000,0.451066,-0.535638,-0.358709,0.069994,0.296186,0.116358,0.012985,-0.132204,0.132840,0.039735
27.000000,0.476693,-0.562475,0.104606,-0.080887,0.331915,0.090517,0.006514,0.042615,0.043110,0.012929
28.000000,0.604489,-0.543686,0.395566,-0.083565,-0.320544,0.076623,-0.066088,0.181823,0.193461,0.057677
29.000000,0.797748,-0.489874,-0.003032,0.155981,-0.473251,0.068758,-0.020250,-0.030931,0.036970,0.011089
30.000000,0.066543,-0.452756,-0.348914,0.178916,0.498987,0.015894,0.138544,-0.259276,0.293970,0.086926
31.000000,0.499520,-0.531661,0.360167,-0.088817,0.404077,-0.028477,0.150954,0.056405,0.161148,0.048135
32.000000,0.422274,-0.498583,0.435240,-0.179159,-0.574668,-0.070691,0.009153,0.219103,0.219294,0.065262
33.000000,0.734740,-0.383736,-0.562844,-0.059728,-0.157503,-0.070738,-0.101100,-0.113311,0.151857,0.045382
34.000000,0.380823,-0.288074,-0.342183,0.028290,0.556467,-0.035534,-0.100265,-0.126446,0.161374,0.048202
35.000000,1.089339,-0.102605,0.654158,0.134240,-0.133029,0.014430,0.000012,0.159029,0.159029,0.047508
36.000000,1.336356,-0.092671,0.227855,0.015996,-0.418246,0.042542,0.042391,0.024429,0.048926,0.014672
37.000000,1.085265,-0.072390,-0.569085,-0.117497,0.382662,0.114837,-0.027171,-0.161521,0.163790,0.048918
38.000000,1.282803,-0.040448,0.277884,0.046432,0.215820,0.121542,-0.033667,0.061370,0.069998,0.020982
39.000000,1.399522,-0.027236,0.426633,0.158489,-0.362483,0.154615,0.071707,0.103944,0.126278,0.037783
40.000000,1.289787,-0.123364,-0.351158,0.001915,-0.120182,0.155879,0.109523,-0.098157,0.147072,0.043963
41.000000,1.008727,-0.203365,-0.318964,-0.130981,0.359517,0.185505,0.037238,-0.103371,0.109874,0.032896
42.000000,1.048978,-0.293424,0.250030,-0.127370,0.163873,0.172365,-0.062709,0.097586,0.115998,0.034721
43.000000,0.996941,-0.343911,0.322944,0.002597,-0.312975,0.166945,-0.098291,0.143743,0.174135,0.051977
44.000000,0.929343,-0.367064,-0.136955,0.154418,-0.297798,0.148806,-0.012311,-0.035345,0.037428,0.011226
45.000000,0.402111,-0.383868,-0.236824,0.147733,0.220168,0.100083,0.129054,-0.171580,0.214697,0.063915
46.000000,0.289205,-0.464283,0.060415,-0.093370,0.445342,0.077321,0.125765,-0.037345,0.131193,0.039245
47.000000,0.343491,-0.479701,0.312281,-0.205773,-0.188819,0.017875,-0.028852,0.179893,0.182192,0.054356
48.000000,0.568020,-0.438272,0.106362,0.022443,-0.526838,0.001130,-0.080648,0.042705,0.091257,0.027339
49.000000,0.215775,-0.404443,-0.480728,0.123707,0.397248,-0.033061,0.000742,-0.217302,0.217303,0.064679
50.000000,0.636986,-0.446104,0.146905,-0.032409,0.479628,-0.042011,0.040076,0.048931,0.063248,0.018962
51.000000,0.768163,-0.420267,0.585245,-0.084894,-0.643734,-0.032502,-0.020148,0.251714,0.252519,0.074953
52.000000,1.062502,-0.362155,-0.620439,-0.003373,-0.154251,-0.020839,-0.060754,-0.135375,0.148383,0.044352
53.000000,0.463497,-0.284497,-0.248735,0.082264,0.514671,-0.018764,-0.004988,-0.147646,0.147730,0.044158
54.000000,1.019826,-0.171638,0.635739,0.071248,-0.017239,0.002093,0.069395,0.116199,0.135344,0.040479
55.000000,1.139463,-0.171781,0.290710,-0.053391,-0.329987,0.012170,0.050926,0.047666,0.069753,0.020909
56.000000,1.051776,-0.141736,-0.385234,-0.043649,0.082459,0.030767,0.002700,-0.112681,0.112713,0.033742
57.000000,0.928683,-0.128889,-0.119043,0.028513,0.286624,0.034472,0.010949,-0.039087,0.040592,0.012174
58.000000,1.043376,-0.129950,0.315099,0.022945,-0.069946,0.043716,0.034266,0.090542,0.096809,0.028997
59.000000,0.981934,-0.145223,0.059784,-0.092146,-0.183392,0.035701,-0.022517,0.038238,0.044375,0.013308
60.000000,0.879661,-0.120091,-0.225045,-0.057229,0.038909,0.043011,-0.086231,-0.036603,0.093678,0.028062
61.000000,0.776958,-0.108491,-0.063240,0.034596,0.145813,0.039320,-0.076712,0.000301,0.076713,0.022991
62.000000,0.843078,-0.071810,0.189852,0.090459,-0.065344,0.050729,-0.007069,0.059670,0.060087,0.018015
63.000000,0.861305,-0.081216,0.095485,0.064341,-0.211387,0.058712,0.055897,0.007856,0.056446,0.016925
64.000000,0.728400,-0.110539,-0.165316,0.017504,0.002534,0.058392,0.082633,-0.093127,0.124502,0.037254
65.000000,0.573205,-0.142745,-0.124440,-0.047765,0.264766,0.066041,0.059685,-0.072852,0.094179,0.028212
66.000000,0.630207,-0.163491,0.158677,-0.048223,0.103397,0.062206,0.017146,0.056522,0.059065,0.017709
67.000000,0.693208,-0.164282,0.219082,0.021596,-0.257734,0.065979,0.015045,0.080651,0.082042,0.024585
68.000000,0.676078,-0.150810,-0.206665,-0.068243,-0.077174,0.070905,-0.026095,-0.043261,0.050522,0.015150
69.000000,0.549192,-0.144339,-0.220339,-0.054963,0.237051,0.078244,-0.074756,-0.049080,0.089428,0.026793
70.000000,0.611300,-0.150374,0.110001,-0.015667,0.139703,0.074125,-0.092667,0.077972,0.121107,0.036243
71.000000,0.801239,-0.098448,0.329152,0.121780,-0.340044,0.111249,-0.020109,0.112720,0.114500,0.034275
72.000000,0.809064,-0.131450,-0.129846,0.113029,-0.228328,0.110393,0.076594,-0.085764,0.114987,0.034420
73.000000,0.406752,-0.188865,-0.265412,0.031119,0.345361,0.099857,0.128944,-0.174624,0.217072,0.064611
74.000000,0.510777,-0.233319,0.161310,-0.057162,0.312893,0.082907,0.102581,0.013275,0.103436,0.030976
75.000000,0.456477,-0.263765,0.264071,-0.179271,-0.191603,0.019722,-0.030176,0.152852,0.155802,0.046552
76.000000,0.520312,-0.219918,-0.032108,-0.063758,-0.332692,-0.005747,-0.123210,0.038780,0.129169,0.038643
77.000000,0.364194,-0.196418,-0.335779,0.082471,0.145568,-0.031343,-0.088660,-0.110242,0.141470,0.042300
78.000000,0.335184,-0.170043,-0.066146,0.071879,0.332784,-0.035717,-0.021409,-0.014999,0.026140,0.007841
79.000000,0.716618,-0.108272,0.425520,0.066413,-0.243341,-0.004016,0.046049,0.129871,0.137793,0.041207
80.000000,0.917666,-0.099729,0.064282,0.034466,-0.391763,0.017101,0.079314,-0.034494,0.086490,0.025915
81.000000,0.578046,-0.105223,-0.477398,-0.035961,0.438042,0.057170,0.063421,-0.205595,0.215155,0.064050
82.000000,0.951975,-0.155360,0.235807,-0.083978,0.357597,0.063446,0.007546,0.068665,0.069078,0.020707
83.000000,0.944718,-0.199348,0.493544,-0.042869,-0.476953,0.066627,-0.045598,0.202837,0.207899,0.061921
84.000000,1.108448,-0.216436,-0.387926,0.064895,-0.301055,0.059605,-0.024993,-0.078790,0.082659,0.024769
85.000000,0.534870,-0.266408,-0.416073,-0.018967,0.535372,0.099018,-0.013064,-0.169033,0.169537,0.050618
86.000000,0.997979,-0.287967,0.502838,-0.049448,0.147115,0.098205,-0.036498,0.133136,0.138048,0.041283
87.000000,1.195480,-0.285614,0.453034,0.108624,-0.520311,0.146227,0.009213,0.127188,0.127521,0.038153
88.000000,1.063616,-0.340641,-0.514408,0.092185,-0.010601,0.153903,0.087992,-0.159321,0.182005,0.054301
89.000000,0.774948,-0.453785,-0.226905,-0.084695,0.500297,0.169777,0.076477,-0.099693,0.125648,0.037595
90.000000,0.891033,-0.520781,0.422275,-0.175267,-0.017957,0.142292,-0.042067,0.163271,0.168603,0.050342
91.000000,0.952426,-0.527536,0.234750,0.024229,-0.481408,0.130583,-0.084029,0.104112,0.133792,0.040018
92.000000,0.646121,-0.495826,-0.334139,0.220084,-0.026812,0.092033,0.049595,-0.156514,0.164184,0.049034
93.000000,0.291032,-0.535468,-0.106475,0.043738,0.457637,0.072460,0.143077,-0.129248,0.192811,0.057486
94.000000,0.421723,-0.574008,0.326317,-0.162805,0.111859,0.035684,0.065819,0.107833,0.126333,0.037799
95.000000,0.469472,-0.534705,0.235074,-0.110617,-0.373996,0.016768,-0.052056,0.127171,0.137413,0.041094
96.000000,0.511890,-0.468016,-0.298486,0.034659,-0.157794,0.010910,-0.075673,-0.067187,0.101195,0.030307
97.000000,0.268442,-0.432251,-0.297146,0.046747,0.358149,0.018321,-0.035585,-0.108699,0.114376,0.034238
98.000000,0.488105,-0.412795,0.188099,-0.009553,0.191057,0.018453,-0.015345,0.084099,0.085487,0.025615
99.000000,0.709655,-0.365100,0.392088,0.026407,-0.408364,0.053861,0.000592,0.138027,0.138028,0.041277
100.000000,0.769089,-0.350426,-0.188895,0.080122,-0.239571,0.059767,0.044211,-0.098374,0.107852,0.032293
101.000000,0.336148,-0.364550,-0.311162,0.015977,0.465576,0.077827,0.078444,-0.179318,0.195725,0.058343
102.000000,0.611363,-0.398427,0.285782,-0.088284,0.257526,0.064418,0.037669,0.085001,0.092974,0.027852
103.000000,0.720358,-0.392811,0.424838,-0.018003,-0.486841,0.079742,-0.001262,0.164762,0.164767,0.049207
104.000000,0.803423,-0.364563,-0.400192,0.021064,-0.165151,0.078295,-0.004662,-0.105213,0.105316,0.031536
105.000000,0.448986,-0.376317,-0.333469,-0.038038,0.491071,0.110011,-0.013708,-0.129931,0.130652,0.039084
106.000000,0.799816,-0.363700,0.404760,-0.037148,0.078046,0.108358,-0.036462,0.134862,0.139704,0.041775
107.000000,0.946708,-0.359397,0.362481,0.055996,-0.464927,0.127022,-0.019319,0.116921,0.118506,0.035469
108.000000,0.833551,-0.373009,-0.395064,0.077203,-0.037357,0.123766,0.037374,-0.131263,0.136480,0.040817
109.000000,0.506599,-0.406509,-0.179483,0.025919,0.384506,0.106285,0.083760,-0.110729,0.138840,0.041518
110.000000,0.606328,-0.451476,0.277598,-0.109295,0.142845,0.082194,0.033379,0.087047,0.093227,0.027928
111.000000,0.587434,-0.447886,0.234032,-0.102208,-0.282831,0.056255,-0.066742,0.128246,0.144574,0.043221
112.000000,0.596746,-0.406991,-0.175722,0.034800,-0.236229,0.045103,-0.083732,-0.020478,0.086200,0.025828
