tonnage,Hs,n_real,N,GM,Xacc_mean_deg_mean,Xacc_mean_deg_std,Xacc_std_deg_mean,Xacc_std_deg_std,Xacc_max_deg_mean,Xacc_max_deg_std,exceed_15deg_pct_mean,exceed_15deg_pct_std,exceed_20deg_pct_mean,exceed_20deg_pct_std,exceed_25deg_pct_mean,exceed_25deg_pct_std
10,3.0,6,30006,0.3,7.36,0.05,3.34,0.04,21.01,0.57,1.66,0.2,0.04,0.01,0.0,0.0
10,5.0,6,30006,0.3,9.08,0.07,4.47,0.03,31.96,5.16,10.06,0.34,1.82,0.13,0.21,0.04
10,7.0,6,21478,0.3,11.13,0.09,5.88,0.04,43.79,8.98,23.35,0.37,8.06,0.43,2.4,0.29
20,3.0,6,30006,0.3261,4.53,0.03,3.25,0.03,19.68,1.4,0.57,0.13,0.01,0.02,0.0,0.0
20,5.0,6,30006,0.3261,7.46,0.03,5.45,0.04,34.56,2.75,10.53,0.15,2.92,0.17,0.64,0.07
20,7.0,6,30006,0.3261,10.44,0.07,7.6,0.08,48.87,4.26,24.97,0.75,12.1,0.18,5.13,0.21
30,3.0,6,30006,0.3723,4.48,0.02,3.35,0.03,20.33,0.99,0.63,0.08,0.04,0.03,0.0,0.0
30,5.0,6,30006,0.3723,7.49,0.04,5.58,0.05,36.13,2.74,11.0,0.17,3.12,0.26,0.61,0.11
30,7.0,6,30006,0.3723,10.52,0.05,7.85,0.08,49.28,1.6,25.49,0.34,13.07,0.23,5.74,0.29
40,3.0,6,30006,0.4104,4.55,0.01,3.4,0.02,21.52,0.73,0.82,0.13,0.04,0.02,0.0,0.0
40,5.0,6,30006,0.4104,7.61,0.06,5.68,0.06,33.76,1.01,11.57,0.26,3.48,0.27,0.73,0.15
40,7.0,6,30006,0.4104,10.57,0.05,8.0,0.07,50.27,2.75,25.79,0.54,13.05,0.23,5.85,0.12
50,3.0,6,30006,0.4398,4.6,0.02,3.47,0.02,20.95,2.9,0.86,0.12,0.02,0.03,0.0,0.01
50,5.0,6,30006,0.4398,7.75,0.04,5.74,0.03,35.83,2.94,12.0,0.18,3.64,0.25,0.79,0.04
50,7.0,6,30006,0.4398,10.79,0.04,8.13,0.08,52.51,3.62,26.61,0.53,13.88,0.32,6.53,0.27
