tonnage,Hs,realization,n_rows,n_expected,n_dropped,is_full
10,3.0,0,5001,5001,0,True
10,3.0,1,5001,5001,0,True
10,3.0,2,5001,5001,0,True
10,3.0,3,5001,5001,0,True
10,3.0,4,5001,5001,0,True
10,3.0,5,5001,5001,0,True
10,5.0,0,5001,5001,0,True
10,5.0,1,5001,5001,0,True
10,5.0,2,5001,5001,0,True
10,5.0,3,5001,5001,0,True
10,5.0,4,5001,5001,0,True
10,5.0,5,5001,5001,0,True
10,7.0,0,5001,5001,0,True
10,7.0,1,4182,5001,819,False
10,7.0,2,5001,5001,0,True
10,7.0,3,643,5001,4358,False
10,7.0,4,1650,5001,3351,False
10,7.0,5,5001,5001,0,True
20,3.0,0,5001,5001,0,True
20,3.0,1,5001,5001,0,True
20,3.0,2,5001,5001,0,True
20,3.0,3,5001,5001,0,True
20,3.0,4,5001,5001,0,True
20,3.0,5,5001,5001,0,True
20,5.0,0,5001,5001,0,True
20,5.0,1,5001,5001,0,True
20,5.0,2,5001,5001,0,True
20,5.0,3,5001,5001,0,True
20,5.0,4,5001,5001,0,True
20,5.0,5,5001,5001,0,True
20,7.0,0,5001,5001,0,True
20,7.0,1,5001,5001,0,True
20,7.0,2,5001,5001,0,True
20,7.0,3,5001,5001,0,True
20,7.0,4,5001,5001,0,True
20,7.0,5,5001,5001,0,True
30,3.0,0,5001,5001,0,True
30,3.0,1,5001,5001,0,True
30,3.0,2,5001,5001,0,True
30,3.0,3,5001,5001,0,True
30,3.0,4,5001,5001,0,True
30,3.0,5,5001,5001,0,True
30,5.0,0,5001,5001,0,True
30,5.0,1,5001,5001,0,True
30,5.0,2,5001,5001,0,True
30,5.0,3,5001,5001,0,True
30,5.0,4,5001,5001,0,True
30,5.0,5,5001,5001,0,True
30,7.0,0,5001,5001,0,True
30,7.0,1,5001,5001,0,True
30,7.0,2,5001,5001,0,True
30,7.0,3,5001,5001,0,True
30,7.0,4,5001,5001,0,True
30,7.0,5,5001,5001,0,True
40,3.0,0,5001,5001,0,True
40,3.0,1,5001,5001,0,True
40,3.0,2,5001,5001,0,True
40,3.0,3,5001,5001,0,True
40,3.0,4,5001,5001,0,True
40,3.0,5,5001,5001,0,True
40,5.0,0,5001,5001,0,True
40,5.0,1,5001,5001,0,True
40,5.0,2,5001,5001,0,True
40,5.0,3,5001,5001,0,True
40,5.0,4,5001,5001,0,True
40,5.0,5,5001,5001,0,True
40,7.0,0,5001,5001,0,True
40,7.0,1,5001,5001,0,True
40,7.0,2,5001,5001,0,True
40,7.0,3,5001,5001,0,True
40,7.0,4,5001,5001,0,True
40,7.0,5,5001,5001,0,True
50,3.0,0,5001,5001,0,True
50,3.0,1,5001,5001,0,True
50,3.0,2,5001,5001,0,True
50,3.0,3,5001,5001,0,True
50,3.0,4,5001,5001,0,True
50,3.0,5,5001,5001,0,True
50,5.0,0,5001,5001,0,True
50,5.0,1,5001,5001,0,True
50,5.0,2,5001,5001,0,True
50,5.0,3,5001,5001,0,True
50,5.0,4,5001,5001,0,True
50,5.0,5,5001,5001,0,True
50,7.0,0,5001,5001,0,True
50,7.0,1,5001,5001,0,True
50,7.0,2,5001,5001,0,True
50,7.0,3,5001,5001,0,True
50,7.0,4,5001,5001,0,True
50,7.0,5,5001,5001,0,True
