eom_set,tonnage,Hs,realization,n_rows,clean_rows,nan_rows,Xacc_mean_deg,Xacc_max_deg,GM_implied,phi_maxdiff_vs_clamped_deg,filename
unclampedEOM,10,3.0,0,5001,5001,0,7.7022,22.935,0.277664,6.8927,6Dof_10ton_L7.9_B1.9_T0.9_Hs3.0_r0_withXacc.csv
unclampedEOM,10,3.0,1,5001,5001,0,7.7188,22.6072,0.277664,6.9202,6Dof_10ton_L7.9_B1.9_T0.9_Hs3.0_r1_withXacc.csv
unclampedEOM,10,3.0,2,5001,5001,0,7.8144,21.2999,0.277663,9.4702,6Dof_10ton_L7.9_B1.9_T0.9_Hs3.0_r2_withXacc.csv
unclampedEOM,10,3.0,3,5001,5001,0,7.7311,22.6308,0.277663,9.1115,6Dof_10ton_L7.9_B1.9_T0.9_Hs3.0_r3_withXacc.csv
unclampedEOM,10,3.0,4,5001,5001,0,7.8005,24.7297,0.277663,8.8651,6Dof_10ton_L7.9_B1.9_T0.9_Hs3.0_r4_withXacc.csv
unclampedEOM,10,3.0,5,5001,5001,0,7.6417,22.6002,0.277663,7.7595,6Dof_10ton_L7.9_B1.9_T0.9_Hs3.0_r5_withXacc.csv
unclampedEOM,10,5.0,0,5001,5001,0,9.8376,33.2116,0.277664,10.0224,6Dof_10ton_L7.9_B1.9_T0.9_Hs5.0_r0_withXacc.csv
unclampedEOM,10,5.0,1,5001,5001,0,9.855,41.0017,0.277664,12.6782,6Dof_10ton_L7.9_B1.9_T0.9_Hs5.0_r1_withXacc.csv
unclampedEOM,10,5.0,2,5001,5001,0,9.7386,33.449,0.277664,12.1685,6Dof_10ton_L7.9_B1.9_T0.9_Hs5.0_r2_withXacc.csv
unclampedEOM,10,5.0,3,5001,5001,0,9.8963,34.2396,0.277663,14.8783,6Dof_10ton_L7.9_B1.9_T0.9_Hs5.0_r3_withXacc.csv
unclampedEOM,10,5.0,4,5001,5001,0,9.9583,32.8022,0.277664,12.8847,6Dof_10ton_L7.9_B1.9_T0.9_Hs5.0_r4_withXacc.csv
unclampedEOM,10,5.0,5,5001,5001,0,9.7844,39.5974,0.277664,12.0406,6Dof_10ton_L7.9_B1.9_T0.9_Hs5.0_r5_withXacc.csv
unclampedEOM,10,7.0,0,4996,3220,1776,12.3241,44.7631,0.277664,14.1507,6Dof_10ton_L7.9_B1.9_T0.9_Hs7.0_r0_withXacc.csv
unclampedEOM,10,7.0,1,4997,4182,815,12.3638,60.9284,0.277664,16.6085,6Dof_10ton_L7.9_B1.9_T0.9_Hs7.0_r1_withXacc.csv
unclampedEOM,10,7.0,2,5001,5001,0,12.1855,45.9641,0.277664,20.6117,6Dof_10ton_L7.9_B1.9_T0.9_Hs7.0_r2_withXacc.csv
unclampedEOM,10,7.0,3,5001,5001,0,12.3106,52.1005,0.277663,10.6246,6Dof_10ton_L7.9_B1.9_T0.9_Hs7.0_r3_withXacc.csv
unclampedEOM,10,7.0,4,5001,5001,0,12.227,41.348,0.277664,19.6193,6Dof_10ton_L7.9_B1.9_T0.9_Hs7.0_r4_withXacc.csv
unclampedEOM,10,7.0,5,5001,5001,0,12.1936,45.5732,0.277664,33.8195,6Dof_10ton_L7.9_B1.9_T0.9_Hs7.0_r5_withXacc.csv
unclampedEOM,20,3.0,0,5001,5001,0,4.4988,20.2738,0.326124,0.0,6Dof_20ton_L10.0_B2.4_T1.2_Hs3.0_r0_withXacc.csv
unclampedEOM,20,3.0,1,5001,5001,0,4.5114,19.5611,0.326124,0.0,6Dof_20ton_L10.0_B2.4_T1.2_Hs3.0_r1_withXacc.csv
unclampedEOM,20,3.0,2,5001,5001,0,4.528,19.3613,0.326124,0.0,6Dof_20ton_L10.0_B2.4_T1.2_Hs3.0_r2_withXacc.csv
