model,scope,seed,horizon_s,rmse_deg,mae_deg,r2
Hs7x10t,corner,0,1,5.940221344541918,4.688905291120102,-0.029509039104997914
Hs7x10t,corner,0,2,7.375319535773249,5.818604207544722,-0.58701900234637
Hs7x10t,corner,0,3,6.030256528082208,4.746886469982573,-0.061080283623837106
Hs7x10t,corner,0,4,8.139544076129903,6.231497316674338,-0.9299840888452349
Hs7x10t,corner,0,5,9.053682490440206,6.856951848012208,-1.3778140431075103
Hs7x10t,corner,0,overall,7.406306853977263,5.668569026666789,-0.598095808775631
Hs7x10t,corner,1,1,5.624871815045224,4.406717679387064,0.07689698868417472
Hs7x10t,corner,1,2,7.554442065130236,5.900734680337767,-0.6650421615687077
Hs7x10t,corner,1,3,5.856691022369109,4.637140782094327,-0.0008783508691110331
Hs7x10t,corner,1,4,9.298878344780789,6.924962564400948,-1.518921898861946
Hs7x10t,corner,1,5,10.005856293128026,7.43851573817346,-1.9042626532202682
Hs7x10t,corner,1,overall,7.86887420426024,5.861614288878713,-0.8039504919136351
Hs7x10t,corner,2,1,5.872903164719056,4.653044291472123,-0.006307219041740142
Hs7x10t,corner,2,2,7.940265621354556,6.19139206274529,-0.8394606716541451
Hs7x10t,corner,2,3,6.092635932501894,4.796071967702613,-0.08314631068237288
Hs7x10t,corner,2,4,8.782119877888706,6.678583962506225,-1.246737283049287
Hs7x10t,corner,2,5,10.313657511609332,7.618105003214574,-2.085693452892164
Hs7x10t,corner,2,overall,7.976918993473972,5.987439457528164,-0.8538294323927764
Hs7x10t,corner,3,1,5.773865897612081,4.535251293330497,0.027346186573610543
Hs7x10t,corner,3,2,7.555519869678559,5.883463659475705,-0.6655173040128362
Hs7x10t,corner,3,3,5.711528339378463,4.497146227604971,0.04812188512222759
Hs7x10t,corner,3,4,8.699158395795415,6.621328299673989,-1.2044895647864133
Hs7x10t,corner,3,5,9.806716236984402,7.358470084188104,-1.7898097370704842
Hs7x10t,corner,3,overall,7.679739631317066,5.779131912854654,-0.718273934009309
Hs7x10t,corner,4,1,5.899112729664683,4.670228502267852,-0.015309147561519909
Hs7x10t,corner,4,2,7.227538286886579,5.6755568093613284,-0.5240571300190184
Hs7x10t,corner,4,3,6.043668114590666,4.765209394435674,-0.06580532141133633
Hs7x10t,corner,4,4,8.25665947988299,6.323495285657663,-0.9859225984992539
Hs7x10t,corner,4,5,8.966904869401281,6.818390309224926,-1.3324508047497718
Hs7x10t,corner,4,overall,7.377541239039702,5.650576060189488,-0.5857061152562233
Hs3x10t,corner,0,1,3.701764180880715,2.9440009053253204,-0.22954001396815182
Hs3x10t,corner,0,2,4.028043987385104,3.199963527023569,-0.4560103194651888
Hs3x10t,corner,0,3,3.594021484939265,2.848089376251747,-0.1590070297925108
Hs3x10t,corner,0,4,4.215166679135816,3.3126176807917447,-0.5945722049170687
Hs3x10t,corner,0,5,4.652849691623265,3.57531875618451,-0.9428950952865349
Hs3x10t,corner,0,overall,4.056151556219303,3.1759980491153783,-0.47638195708390807
Hs3x10t,corner,1,1,3.5036186591621346,2.8012015476719365,-0.10143489279604423
Hs3x10t,corner,1,2,4.389731077386226,3.486994641399397,-0.7292264699434048
Hs3x10t,corner,1,3,3.4375224984447375,2.720621571417883,-0.06026843114024638
Hs3x10t,corner,1,4,5.464941631281888,4.265430658150874,-1.6803144038149718
Hs3x10t,corner,1,5,6.349018668216093,4.8770395628431995,-2.6176330604600646
Hs3x10t,corner,1,overall,4.765233858911598,3.630257596296658,-1.037693308382897
Hs3x10t,corner,2,1,4.016487950995553,3.1875272737470293,-0.4474984465090306
Hs3x10t,corner,2,2,5.720166519847587,4.389667932655445,-1.9362524181841714
Hs3x10t,corner,2,3,3.5816042297688186,2.840760001997892,-0.1510121835545739
Hs3x10t,corner,2,4,7.071306315145085,5.2211872473057355,-3.487598410461941
Hs3x10t,corner,2,5,8.058467982301547,5.922954071321804,-4.8279561475575115
Hs3x10t,corner,2,overall,5.943444263360522,4.312419305405581,-2.1699088180802635
Hs3x10t,corner,3,1,3.734928756003773,3.012928943780688,-0.25166991424759644
Hs3x10t,corner,3,2,3.999973930276195,3.1832820487814835,-0.43578815336217946
Hs3x10t,corner,3,3,3.4398377578364925,2.757261974229538,-0.061697147972330724
Hs3x10t,corner,3,4,4.540298231247676,3.4819083990661195,-0.8500499143808913
Hs3x10t,corner,3,5,4.989336959538233,3.7350940955376744,-1.234071028429247
Hs3x10t,corner,3,overall,4.17827139807925,3.2340950922791003,-0.5666200243591226
Hs3x10t,corner,4,1,3.922837963552134,3.1361463472925557,-0.38078451676926206
Hs3x10t,corner,4,2,4.42081851111077,3.491627132389018,-0.7538054533438485
Hs3x10t,corner,4,3,3.6658555709588145,2.902593292907009,-0.2058004261894475
Hs3x10t,corner,4,4,5.539548574552413,4.110516141405492,-1.7539968201590628
Hs3x10t,corner,4,5,6.191051636858742,4.502879993858443,-2.4398551760232863
Hs3x10t,corner,4,overall,4.845338168666296,3.6287525815705033,-1.1067769944246937
Hs7x50t,corner,0,1,2.6739523634769164,2.070211921549693,0.8918604001655611
Hs7x50t,corner,0,2,3.4048209435766026,2.657164981980165,0.8246341426887912
Hs7x50t,corner,0,3,4.721403270841899,3.685557033992122,0.6627427024421566
Hs7x50t,corner,0,4,7.054044864244564,5.418403960618273,0.2471008459791405
Hs7x50t,corner,0,5,7.0767861944616754,5.452976577437777,0.2420994699499588
Hs7x50t,corner,0,overall,5.308011445631531,3.8568628951156065,0.5737401949952097
Hs7x50t,corner,1,1,2.64301116060713,2.052737178274836,0.8943485601445251
Hs7x50t,corner,1,2,3.3335726915974577,2.59022959235723,0.8318966582927547
Hs7x50t,corner,1,3,4.780879756721908,3.715829033474802,0.6541921844520276
Hs7x50t,corner,1,4,7.04420413324696,5.397888512418829,0.24920004159693843
Hs7x50t,corner,1,5,7.007676938511836,5.384461233506629,0.25682993899525675
Hs7x50t,corner,1,overall,5.285515567641356,3.8282291100064656,0.5773456012420469
Hs7x50t,corner,2,1,2.5940439873759917,2.024076705523549,0.8982271120438052
Hs7x50t,corner,2,2,3.460630002139184,2.6897067141994886,0.8188381176595286
Hs7x50t,corner,2,3,4.747467269747538,3.7057844296142104,0.6590088393470477
Hs7x50t,corner,2,4,7.075207861548,5.441073605503884,0.24257649025078998
Hs7x50t,corner,2,5,7.159055402502758,5.496429847878474,0.2243755196003907
Hs7x50t,corner,2,overall,5.339552607432314,3.871414260543922,0.5686593186175953
Hs7x50t,corner,3,1,2.7193335414672877,2.094902650029553,0.8881586540061462
Hs7x50t,corner,3,2,3.4248674486151187,2.653552003351668,0.8225630666505108
Hs7x50t,corner,3,3,4.737742766376577,3.697033800727472,0.6604043512525363
Hs7x50t,corner,3,4,7.1188284707711,5.4529944129632915,0.23320825013457291
Hs7x50t,corner,3,5,7.1142941786234,5.4599085440195445,0.23404421584499768
Hs7x50t,corner,3,overall,5.345308203030803,3.8716782822183062,0.5677289183610199
Hs7x50t,corner,4,1,2.547360375035647,1.9825464291302057,0.9018572542795483
Hs7x50t,corner,4,2,3.2548890075832357,2.5429431912392646,0.8397386286898301
Hs7x50t,corner,4,3,4.736695095129334,3.696120567476012,0.6605545262521373
Hs7x50t,corner,4,4,7.010537189061744,5.387978327458127,0.25635961143876096
Hs7x50t,corner,4,5,7.067361758763029,5.424829619793437,0.24411677793438846
Hs7x50t,corner,4,overall,5.265260898847349,3.8068836270194097,0.5805787095126966
Hs3x50t,corner,0,1,1.2519922172029319,1.0351591539489005,0.8699052433362549
Hs3x50t,corner,0,2,1.7249702000473608,1.434688398758091,0.7530193827909739
Hs3x50t,corner,0,3,2.1799929744732016,1.8171054958461035,0.6055362207402356
Hs3x50t,corner,0,4,3.4740827990769017,2.947071445824329,-0.0019825368595041137
Hs3x50t,corner,0,5,3.4863664389009816,2.953764213150391,-0.009052022958066397
Hs3x50t,corner,0,overall,2.589184362415229,2.0375577415055623,0.4435245146415687
Hs3x50t,corner,1,1,1.0471359088401213,0.8525826186322755,0.9089955476460069
Hs3x50t,corner,1,2,1.4087619749964162,1.1554898435702592,0.8352691575180262
Hs3x50t,corner,1,3,2.1474930889315056,1.7858500641619364,0.6172100799874514
Hs3x50t,corner,1,4,3.2171384252370565,2.717078023609164,0.1407504401110331
Hs3x50t,corner,1,5,3.27225202372759,2.769191965026019,0.11108346875653119
Hs3x50t,corner,1,overall,2.39793425409092,1.8560385029999307,0.5226964887217085
Hs3x50t,corner,2,1,1.0513173893580119,0.8569805852971037,0.9082672885448774
Hs3x50t,corner,2,2,1.424613255988969,1.1757660281845006,0.8315412241971487
Hs3x50t,corner,2,3,2.122319235336299,1.759502528927676,0.626131940557146
Hs3x50t,corner,2,4,3.365649764735412,2.866143999528023,0.05958907948576486
Hs3x50t,corner,2,5,3.255502830144219,2.7625731584525597,0.12016011127911486
Hs3x50t,corner,2,overall,2.4316630989890453,1.8841932600779725,0.5091747518875274
Hs3x50t,corner,3,1,1.0546251053950066,0.8556932124014778,0.9076891508829705
Hs3x50t,corner,3,2,1.3728989100588067,1.122609554434926,0.8435495565190497
Hs3x50t,corner,3,3,2.0574909926356413,1.6817855690662586,0.6486234062043681
Hs3x50t,corner,3,4,3.104837020053938,2.6115351642687425,0.19969148325152697
Hs3x50t,corner,3,5,3.118592636027064,2.629501609538251,0.19260735093368275
Hs3x50t,corner,3,overall,2.30633855561262,1.7802250219419316,0.5584639128263686
Hs3x50t,corner,4,1,1.0699649816745989,0.8748605292235953,0.9049842363796502
Hs3x50t,corner,4,2,1.3880546102351232,1.1446931131049103,0.8400763166415819
Hs3x50t,corner,4,3,2.1627697729648268,1.7986045448949635,0.6117445812792663
Hs3x50t,corner,4,4,3.34305334066039,2.8482802031619014,0.07217422124546613
Hs3x50t,corner,4,5,3.3399600438877797,2.8459541966934703,0.07391673628026074
Hs3x50t,corner,4,overall,2.4527711873357725,1.902478517415768,0.5006165355509542
Hs5x30t,center,0,1,1.6971869130167416,1.3801528932461646,0.9073614015730509
Hs5x30t,center,0,2,2.0330429206917375,1.6519100282496981,0.8670781049162473
Hs5x30t,center,0,3,3.4016490829311667,2.7594261586376336,0.6278810083419482
Hs5x30t,center,0,4,4.827933964477222,3.9615122175352475,0.25033943701408534
Hs5x30t,center,0,5,4.788409084484023,3.9431556169324002,0.2627173518463436
Hs5x30t,center,0,overall,3.6006313708631272,2.7392313829202286,0.5830693761483761
Hs5x30t,center,1,1,1.645266544251528,1.3324793052609005,0.9129427066790577
Hs5x30t,center,1,2,2.0291619264382272,1.6438920635442273,0.8675851052549197
Hs5x30t,center,1,3,3.3848222016408998,2.743817973529452,0.6315534124403172
Hs5x30t,center,1,4,4.788994030270632,3.8945360842185703,0.2623835161372706
Hs5x30t,center,1,5,4.758821303707182,3.8876560423758892,0.2718006028583272
Hs5x30t,center,1,overall,3.573856893739482,2.7004762937858082,0.5892469564773077
Hs5x30t,center,2,1,1.6545838149456584,1.3354834449284783,0.9119538904482052
Hs5x30t,center,2,2,2.009804230940951,1.6250745067844805,0.8700994643220836
Hs5x30t,center,2,3,3.4278401505580236,2.7854002982722488,0.622128672373512
Hs5x30t,center,2,4,4.781854849474342,3.924324912488383,0.26458107674480336
Hs5x30t,center,2,5,4.814176829002823,3.9789105451013156,0.2547609606499346
Hs5x30t,center,2,overall,3.5935910476155994,2.729838741514981,0.5846982330550075
Hs5x30t,center,3,1,1.6974292705772847,1.3760890694842438,0.9073349421800416
Hs5x30t,center,3,2,2.0884791261401916,1.6923129953070957,0.8597303518507314
Hs5x30t,center,3,3,3.377737427227539,2.741823284089893,0.633094190021207
Hs5x30t,center,3,4,4.830652774460174,3.9758045775490887,0.24949486932502984
Hs5x30t,center,3,5,4.820748314923803,3.9793571095378892,0.2527250278108967
Hs5x30t,center,3,overall,3.6118400257893493,2.753077407193642,0.580469551383259
Hs5x30t,center,4,1,1.6999096281964168,1.38625690224578,0.9070639318774583
Hs5x30t,center,4,2,2.0334979458905185,1.6460741185499956,0.86701859846944
Hs5x30t,center,4,3,3.4092035806751797,2.7731337970913397,0.6262263440379218
