n_events,n_detected,detection_rate,missed_event_rate,false_episodes,n_episodes,false_episodes_per_hour,precision,lead_mean_s,lead_p10_s,lead_p50_s,lead_p90_s,duration_h,threshold_deg,alarm,alpha,seed
2545,2534,0.9956777996070727,0.0043222003929273,1220,2451,137.50352211890672,0.5022439820481436,4.313733228097869,2.0,5.0,5.0,8.8725,15,point,0.19528351724147797,0
2545,2524,0.9917485265225933,0.008251473477406734,1013,2205,114.17300648069879,0.5405895691609978,4.3450871632329635,2.0,5.0,5.0,8.8725,15,prob,0.2520922812946276,0
2545,1658,0.6514734774066797,0.3485265225933203,1110,2755,125.10566356720201,0.5970961887477314,3.348009650180941,1.0,4.0,5.0,8.8725,15,naive,0.2651306390977443,0
1149,1146,0.9973890339425587,0.0026109660574412663,1618,2254,182.36122851507466,0.2821650399290151,4.4101221640488655,2.0,5.0,5.0,8.8725,20,point,0.219917431473732,0
1149,1145,0.9965187119234117,0.003481288076588318,1387,2009,156.32572555649477,0.3096067695370831,4.527510917030567,3.0,5.0,5.0,8.8725,20,prob,0.06602318162644338,0
1149,873,0.7597911227154047,0.24020887728459528,1615,2506,182.02310510002818,0.3555466879489226,3.310423825887743,1.0,3.0,5.0,8.8725,20,naive,0.2771765669172932,0
491,489,0.9959266802443992,0.004073319755600768,1715,2020,193.2938856015779,0.15099009900990099,4.54601226993865,3.0,5.0,5.0,8.8725,25,point,0.23629853129386902,0
491,488,0.9938900203665988,0.006109979633401208,1218,1536,137.27810650887574,0.20703125,4.401639344262295,3.0,5.0,5.0,8.8725,25,prob,2.7799137788164785e-05,0
491,404,0.8228105906313645,0.17718940936863548,1890,2312,213.01775147928993,0.18252595155709342,3.3267326732673266,2.0,3.0,5.0,8.8725,25,naive,0.28563315639097747,0
2545,2532,0.9948919449901769,0.0051080550098231425,1260,2554,142.01183431952663,0.5066562255285826,4.2871248025276465,2.0,5.0,5.0,8.8725,15,point,0.18990638852119446,1
2545,2525,0.9921414538310412,0.007858546168958758,1011,2259,113.94759087066778,0.5524568393094289,4.330693069306931,2.0,5.0,5.0,8.8725,15,prob,0.23338422761984323,1
2545,1658,0.6514734774066797,0.3485265225933203,1110,2755,125.10566356720201,0.5970961887477314,3.348009650180941,1.0,4.0,5.0,8.8725,15,naive,0.2651306390977443,1
1149,1146,0.9973890339425587,0.0026109660574412663,1719,2367,193.74471682163988,0.2737642585551331,4.356893542757417,2.0,5.0,5.0,8.8725,20,point,0.2131616622209549,1
1149,1146,0.9973890339425587,0.0026109660574412663,1386,2013,156.21301775147927,0.3114754098360656,4.465095986038395,3.0,5.0,5.0,8.8725,20,prob,0.048372366852224125,1
1149,873,0.7597911227154047,0.24020887728459528,1615,2506,182.02310510002818,0.3555466879489226,3.310423825887743,1.0,3.0,5.0,8.8725,20,naive,0.2771765669172932,1
491,489,0.9959266802443992,0.004073319755600768,1879,2197,211.77796562411945,0.14474283113336367,4.505112474437627,3.0,5.0,5.0,8.8725,25,point,0.22810155153274536,1
491,488,0.9938900203665988,0.006109979633401208,1117,1449,125.8946182023105,0.22912353347135955,4.342213114754099,2.0,5.0,5.0,8.8725,25,prob,1.5603239683414927e-05,1
491,404,0.8228105906313645,0.17718940936863548,1890,2312,213.01775147928993,0.18252595155709342,3.3267326732673266,2.0,3.0,5.0,8.8725,25,naive,0.28563315639097747,1
2545,2536,0.9964636542239685,0.0035363457760314576,1182,2437,133.22062552831784,0.5149774312679524,4.299684542586751,2.0,5.0,5.0,8.8725,15,point,0.1893196403980255,2
2545,2526,0.9925343811394892,0.007465618860510781,956,2161,107.74866159481543,0.5576122165664045,4.332937450514648,2.0,5.0,5.0,8.8725,15,prob,0.24036431750769016,2
2545,1658,0.6514734774066797,0.3485265225933203,1110,2755,125.10566356720201,0.5970961887477314,3.348009650180941,1.0,4.0,5.0,8.8725,15,naive,0.2651306390977443,2
1149,1146,0.9973890339425587,0.0026109660574412663,1605,2247,180.8960270498732,0.2857142857142857,4.390924956369982,2.0,5.0,5.0,8.8725,20,point,0.21313512325286865,2
1149,1146,0.9973890339425587,0.0026109660574412663,1312,1926,147.87264018033247,0.31879543094496365,4.512216404886562,3.0,5.0,5.0,8.8725,20,prob,0.06228554815769494,2
1149,873,0.7597911227154047,0.24020887728459528,1615,2506,182.02310510002818,0.3555466879489226,3.310423825887743,1.0,3.0,5.0,8.8725,20,naive,0.2771765669172932,2
491,489,0.9959266802443992,0.004073319755600768,1774,2083,199.94364609749223,0.14834373499759962,4.523517382413088,3.0,5.0,5.0,8.8725,25,point,0.2286052107810974,2
491,488,0.9938900203665988,0.006109979633401208,1161,1479,130.85376162299238,0.2150101419878296,4.422131147540983,3.0,5.0,5.0,8.8725,25,prob,6.889063405646212e-05,2
491,404,0.8228105906313645,0.17718940936863548,1890,2312,213.01775147928993,0.18252595155709342,3.3267326732673266,2.0,3.0,5.0,8.8725,25,naive,0.28563315639097747,2
2545,2533,0.9952848722986247,0.004715127701375277,1142,2368,128.71231332769793,0.5177364864864865,4.295696802210817,2.0,5.0,5.0,8.8725,15,point,0.19442299008369446,3
2545,2526,0.9925343811394892,0.007465618860510781,991,2178,111.69343477035784,0.5449954086317723,4.330166270783848,2.0,5.0,5.0,8.8725,15,prob,0.24638613434110634,3
2545,1658,0.6514734774066797,0.3485265225933203,1110,2755,125.10566356720201,0.5970961887477314,3.348009650180941,1.0,4.0,5.0,8.8725,15,naive,0.2651306390977443,3
1149,1146,0.9973890339425587,0.0026109660574412663,1573,2210,177.28937728937728,0.28823529411764703,4.4048865619546245,2.0,5.0,5.0,8.8725,20,point,0.21903452277183533,3
1149,1146,0.9973890339425587,0.0026109660574412663,1324,1947,149.22513384051845,0.31997945557267593,4.488656195462478,3.0,5.0,5.0,8.8725,20,prob,0.06320506069856435,3
1149,873,0.7597911227154047,0.24020887728459528,1615,2506,182.02310510002818,0.3555466879489226,3.310423825887743,1.0,3.0,5.0,8.8725,20,naive,0.2771765669172932,3
491,489,0.9959266802443992,0.004073319755600768,1680,1992,189.3491124260355,0.1566265060240964,4.539877300613497,3.0,5.0,5.0,8.8725,25,point,0.23526321351528168,3
491,488,0.9938900203665988,0.006109979633401208,1190,1505,134.1222879684418,0.20930232558139536,4.397540983606557,3.0,5.0,5.0,8.8725,25,prob,1.2408693572885099e-05,3
491,404,0.8228105906313645,0.17718940936863548,1890,2312,213.01775147928993,0.18252595155709342,3.3267326732673266,2.0,3.0,5.0,8.8725,25,naive,0.28563315639097747,3
2545,2536,0.9964636542239685,0.0035363457760314576,1214,2466,136.82727528881375,0.5077047850770479,4.3280757097791795,2.0,5.0,5.0,8.8725,15,point,0.19284111261367798,4
2545,2529,0.993713163064833,0.006286836935166962,1039,2236,117.10340941110171,0.5353309481216458,4.356267299327797,2.0,5.0,5.0,8.8725,15,prob,0.2527908549822988,4
2545,1658,0.6514734774066797,0.3485265225933203,1110,2755,125.10566356720201,0.5970961887477314,3.348009650180941,1.0,4.0,5.0,8.8725,15,naive,0.2651306390977443,4
1149,1146,0.9973890339425587,0.0026109660574412663,1682,2332,189.57452803606648,0.2787307032590051,4.447643979057592,3.0,5.0,5.0,8.8725,20,point,0.21773174405097961,4
1149,1146,0.9973890339425587,0.0026109660574412663,1437,2048,161.96111580726964,0.29833984375,4.522687609075043,3.0,5.0,5.0,8.8725,20,prob,0.0771584756339403,4
1149,873,0.7597911227154047,0.24020887728459528,1615,2506,182.02310510002818,0.3555466879489226,3.310423825887743,1.0,3.0,5.0,8.8725,20,naive,0.2771765669172932,4
491,489,0.9959266802443992,0.004073319755600768,1864,2176,210.087348548887,0.14338235294117646,4.562372188139059,4.0,5.0,5.0,8.8725,25,point,0.23322761058807373,4
491,489,0.9959266802443992,0.004073319755600768,1303,1624,146.858269935193,0.19766009852216748,4.474437627811861,4.0,5.0,5.0,8.8725,25,prob,1.911490686845596e-07,4
491,404,0.8228105906313645,0.17718940936863548,1890,2312,213.01775147928993,0.18252595155709342,3.3267326732673266,2.0,3.0,5.0,8.8725,25,naive,0.28563315639097747,4
