threshold_deg,alarm,prevalence,roc_auc,pr_auc,best_f1,effective_horizon_s,budget_fpr,achieved_fpr,detection_rate,mean_lead_s,n_events,seed
15,point,0.1205,0.9283828728596922,0.7561071107424803,0.6929336878575457,5,0.1,0.1,0.9946987328678563,4.042766151046406,7734,0
15,prob,0.1205,0.9467132478933126,0.7881250258964703,0.6988268345342455,5,0.1,0.1,0.987070080165503,4.353156929525806,7734,0
15,naive,0.1205,0.669714428508971,0.25386811723700436,0.31572511857688024,0,0.1,0.1,0.7314455650374968,3.5851157857521656,7734,0
20,point,0.0494,0.9490932562802324,0.701004947476781,0.6538188457247185,5,0.1,0.1,0.9971608832807571,4.289149003479912,3170,0
20,prob,0.0494,0.9524309369148047,0.7332776502196179,0.6596218020022246,5,0.1,0.1,0.9952681388012619,4.646275752773375,3170,0
20,naive,0.0494,0.7026234819139661,0.15025861965068318,0.23255448037133192,0,0.1,0.0999,0.8280757097791798,3.595047619047619,3170,0
25,point,0.0192,0.9649141792072802,0.635706184302113,0.607694320858414,5,0.1,0.0998,0.9967558799675588,4.5223759153783565,1233,0
25,prob,0.0192,0.9459579772480612,0.664376067311338,0.6134091692519821,5,0.1,0.0585,0.9951338199513382,4.62999185004075,1233,0
25,naive,0.0192,0.7343769846202248,0.08460921378480168,0.1611026808295397,0,0.1,0.1,0.8856447688564477,3.659340659340659,1233,0
15,point,0.1205,0.924638002228219,0.7512053864699215,0.6825976172439915,5,0.1,0.1,0.9959917248513059,3.9619628716084643,7734,1
15,prob,0.1205,0.9452535103988248,0.785051570625524,0.6952257730624919,5,0.1,0.0999,0.9879751745539178,4.3512629237010865,7734,1
15,naive,0.1205,0.669714428508971,0.25386811723700436,0.31572511857688024,0,0.1,0.1,0.7314455650374968,3.5851157857521656,7734,1
20,point,0.0494,0.9442822474984831,0.6910977777796378,0.6435032606409088,5,0.1,0.1,0.9968454258675079,4.2003164556962025,3170,1
20,prob,0.0494,0.9482934777654041,0.7274030624987332,0.6575668440360908,5,0.1,0.0999,0.9943217665615142,4.654822335025381,3170,1
20,naive,0.0494,0.7026234819139661,0.15025861965068318,0.23255448037133192,0,0.1,0.0999,0.8280757097791798,3.595047619047619,3170,1
25,point,0.0192,0.9602325934155629,0.6234679837568277,0.5964005702066999,5,0.1,0.1,0.9951338199513382,4.4466177669111655,1233,1
25,prob,0.0192,0.9375736820928744,0.6576844982933439,0.6125714285714285,5,0.1,0.0523,0.9943227899432279,4.570146818923328,1233,1
25,naive,0.0192,0.7343769846202248,0.08460921378480168,0.1611026808295397,0,0.1,0.1,0.8856447688564477,3.659340659340659,1233,1
15,point,0.1205,0.9295463605563252,0.7580058530702224,0.691378672186656,5,0.1,0.1,0.9952159296612361,4.062491879953228,7734,2
15,prob,0.1205,0.9468496762961163,0.7890086292927817,0.697796118147854,5,0.1,0.1,0.9831911042151539,4.4082062072593375,7734,2
15,naive,0.1205,0.669714428508971,0.25386811723700436,0.31572511857688024,0,0.1,0.1,0.7314455650374968,3.5851157857521656,7734,2
20,point,0.0494,0.9499088148801599,0.7007185099101367,0.6530803780921097,5,0.1,0.0999,0.9965299684542587,4.300094966761633,3170,2
20,prob,0.0494,0.9544135862693761,0.7350086907940167,0.6621535723366387,5,0.1,0.0999,0.9940063091482649,4.685179308156141,3170,2
20,naive,0.0494,0.7026234819139661,0.15025861965068318,0.23255448037133192,0,0.1,0.0999,0.8280757097791798,3.595047619047619,3170,2
25,point,0.0192,0.9651020563174746,0.633214132831061,0.6049796927423627,5,0.1,0.0998,0.9951338199513382,4.554197229013855,1233,2
25,prob,0.0192,0.9482230635726726,0.6649929097902085,0.6128371177965407,5,0.1,0.0581,0.9943227899432279,4.66231647634584,1233,2
25,naive,0.0192,0.7343769846202248,0.08460921378480168,0.1611026808295397,0,0.1,0.1,0.8856447688564477,3.659340659340659,1233,2
15,point,0.1205,0.929562471057515,0.7575440722523656,0.6934265696062497,5,0.1,0.1,0.995733126454616,4.054927931437476,7734,3
15,prob,0.1205,0.9466635143527679,0.7886880280814872,0.6973146030708919,5,0.1,0.1,0.9905611585208172,4.358438846103642,7734,3
15,naive,0.1205,0.669714428508971,0.25386811723700436,0.31572511857688024,0,0.1,0.1,0.7314455650374968,3.5851157857521656,7734,3
20,point,0.0494,0.9506100761361208,0.7017959901426917,0.6569149838791787,5,0.1,0.1,0.9968454258675079,4.293670886075949,3170,3
20,prob,0.0494,0.9518565946903451,0.7319836012636347,0.6617749132374814,5,0.1,0.1,0.9952681388012619,4.653565768621236,3170,3
20,naive,0.0494,0.7026234819139661,0.15025861965068318,0.23255448037133192,0,0.1,0.0999,0.8280757097791798,3.595047619047619,3170,3
25,point,0.0192,0.9654214112827993,0.6362671331624024,0.6101666386130281,5,0.1,0.1,0.9951338199513382,4.555012224938875,1233,3
25,prob,0.0192,0.9464091559341191,0.6638809247610206,0.611945511701013,5,0.1,0.0592,0.9951338199513382,4.63080684596577,1233,3
25,naive,0.0192,0.7343769846202248,0.08460921378480168,0.1611026808295397,0,0.1,0.1,0.8856447688564477,3.659340659340659,1233,3
15,point,0.1205,0.9268238959688901,0.7570979441534328,0.6907899304350241,5,0.1,0.1,0.9961210240496509,4.020249221183801,7734,4
15,prob,0.1205,0.9484243079948794,0.7912332274573101,0.7009680379460536,5,0.1,0.1,0.9897853633307474,4.350751143043762,7734,4
15,naive,0.1205,0.669714428508971,0.25386811723700436,0.31572511857688024,0,0.1,0.1,0.7314455650374968,3.5851157857521656,7734,4
20,point,0.0494,0.9478312426797637,0.7009234181181724,0.6519891311920852,5,0.1,0.0999,0.9968454258675079,4.26867088607595,3170,4
20,prob,0.0494,0.9560313989413631,0.7377744776935644,0.6629587712206952,5,0.1,0.0999,0.9952681388012619,4.655150554675119,3170,4
20,naive,0.0494,0.7026234819139661,0.15025861965068318,0.23255448037133192,0,0.1,0.0999,0.8280757097791798,3.595047619047619,3170,4
25,point,0.0192,0.9634114017511233,0.6368952615900243,0.6037503301346949,5,0.1,0.1,0.9959448499594485,4.526058631921824,1233,4
25,prob,0.0192,0.9498801111409161,0.6712004643179819,0.6162450524866632,5,0.1,0.0627,0.9951338199513382,4.668296658516708,1233,4
25,naive,0.0192,0.7343769846202248,0.08460921378480168,0.1611026808295397,0,0.1,0.1,0.8856447688564477,3.659340659340659,1233,4
