threshold_deg,alarm,horizon_s,roc_auc
15,point,1,0.9911848804523662
15,point,2,0.9821812569340491
15,point,3,0.9497715619283623
15,point,4,0.8532188822219242
15,point,5,0.8481917939112583
15,prob,1,0.9898842788737311
15,prob,2,0.9793169657484713
15,prob,3,0.9479810312006247
15,prob,4,0.8636118436081562
15,prob,5,0.8592725362839692
15,naive,1,0.707804408195651
15,naive,2,0.6490896110856749
15,naive,3,0.7806634150968604
15,naive,4,0.6522535457823069
15,naive,5,0.5788974369572313
20,point,1,0.9953843576404198
20,point,2,0.9919352790759193
20,point,3,0.9733610792699057
20,point,4,0.894619973611638
20,point,5,0.8904296771145959
20,prob,1,0.9946823913235164
20,prob,2,0.9896673132880698
20,prob,3,0.9603393880610176
20,prob,4,0.875857197057641
20,prob,5,0.8720156502534386
20,naive,1,0.7443588748787585
20,naive,2,0.6584188343179613
20,naive,3,0.8362216735737589
20,naive,4,0.6650406938553624
20,naive,5,0.591729454405158
25,point,1,0.9970889832412648
25,point,2,0.9940323324251316
25,point,3,0.9843618149165891
25,point,4,0.9297016082993105
25,point,5,0.926912091954176
25,prob,1,0.9950355430319513
25,prob,2,0.9857765457598853
25,prob,3,0.9511994837064617
25,prob,4,0.8768872093352263
25,prob,5,0.8638775109391982
25,naive,1,0.7754198005728827
25,naive,2,0.6953697523888146
25,naive,3,0.8881222527175315
25,naive,4,0.7216225797700146
25,naive,5,0.5904379174496232
