threshold_deg,alarm,horizon_s,roc_auc
15,point,1,0.9916564898645712
15,point,2,0.9847926611304313
15,point,3,0.9502275744013907
15,point,4,0.8629447083080036
15,point,5,0.8643757837802737
15,prob,1,0.9907836215676387
15,prob,2,0.9832082236894569
15,prob,3,0.94920394095047
15,prob,4,0.8764350999962376
15,prob,5,0.8779785471049507
15,naive,1,0.6920543921579035
15,naive,2,0.6498687295863703
15,naive,3,0.7809633413933876
15,naive,4,0.648811315487735
15,naive,5,0.5797954107652797
20,point,1,0.9960151632588733
20,point,2,0.993323457436499
20,point,3,0.9739836391207293
20,point,4,0.903866209772762
20,point,5,0.9068663920630649
20,prob,1,0.9943217584037208
20,prob,2,0.9904637738304726
20,prob,3,0.9628435086792028
20,prob,4,0.893876432933644
20,prob,5,0.8943627452016004
20,naive,1,0.7365282742105245
20,naive,2,0.672664841932092
20,naive,3,0.8434612244473451
20,naive,4,0.6763072706950611
20,naive,5,0.5879035616805249
25,point,1,0.9977643341293188
25,point,2,0.9964460471369344
25,point,3,0.9854310176069471
25,point,4,0.9365022275425858
25,point,5,0.940008678658074
25,prob,1,0.9946933236114697
25,prob,2,0.9922699543247244
25,prob,3,0.9638129895003249
25,prob,4,0.8830294584362293
25,prob,5,0.8850720548495762
25,naive,1,0.7790916851351354
25,naive,2,0.6946930657158165
25,naive,3,0.8882545198112762
25,naive,4,0.7154845122824428
25,naive,5,0.5986524871614005
