model,scope,horizon_s,rmse_deg_mean,rmse_deg_std,mae_deg_mean,mae_deg_std,r2_mean,r2_std,n_seeds
ID,ID,1,1.6088025912837292,0.011824892328058414,1.2100597195352383,0.011890082446012501,0.9320451021581482,0.0009975142203705704,5
Hs=3,LOHO,1,1.0300416830811712,0.04048926518953615,0.8285740171526011,0.0331544474523938,0.9155086878230942,0.006752369995437557,5
Hs=5,LOHO,1,1.570915364227504,0.022022517875485155,1.254326012119869,0.02084505111637133,0.9166011674305615,0.0023217977627090045,5
Hs=7,LOHO,1,2.4553139103313786,0.05432537883770617,1.9039752754588903,0.0320463918342698,0.8963081639636272,0.004529332563644558,5
10t,LOVO,1,4.650689169096241,0.32563688389519113,3.598731489799994,0.23425916703157776,0.040725272068039775,0.13821835103921407,5
20t,LOVO,1,1.7300268952398894,0.01961640102994576,1.3115571916804973,0.015251853396970277,0.9222937819256904,0.0017655371724910785,5
30t,LOVO,1,1.6921988605583578,0.028766092441563817,1.2925296032127682,0.021147860138894723,0.9296997806345821,0.0023958023779222007,5
40t,LOVO,1,1.6752578274271905,0.02210186490163334,1.2766912900812566,0.016316835665913926,0.9331941789418401,0.001770276672102867,5
50t,LOVO,1,1.6673481801422283,0.02677566511983475,1.275689147743579,0.018777724456049846,0.9359485921683612,0.002047909482008009,5
r0,LORO,1,1.619213068863105,0.01510773312355375,1.2171929289128882,0.012127948289416183,0.931155947370741,0.0012856660572232695,5
r1,LORO,1,1.6230056672916944,0.009270855217221407,1.2211495991801815,0.007837528885077482,0.9306147932127578,0.0007936320604618219,5
r2,LORO,1,1.6065658165808199,0.010950916061730298,1.2085444940410186,0.010468748175117904,0.9327269288594483,0.0009160019412366275,5
r3,LORO,1,1.6071376253161902,0.024007909066541665,1.2086900177282571,0.015282452523390635,0.931687812167351,0.0020535819633489987,5
r4,LORO,1,1.6098520183496638,0.012676625083568815,1.2078129738942263,0.013616076495450718,0.9316161599780373,0.0010763991066270904,5
r5,LORO,1,1.6212268350283003,0.012876477851877918,1.2143968652785477,0.008321938587001972,0.9311137624322919,0.0010942509993913175,5
ID,ID,2,2.091544912691013,0.016446283453306756,1.5801892379826756,0.011361069509834145,0.8851429372040979,0.0018146754885299651,5
Hs=3,LOHO,2,1.4201096968148437,0.095383715772496,1.1592887002952088,0.07858850954228533,0.8390106151497495,0.021543050343134813,5
Hs=5,LOHO,2,1.9914142749333354,0.03112146871008433,1.599290952428119,0.032431716073032,0.8659850697657205,0.004186530834304222,5
Hs=7,LOHO,2,3.1556142327362373,0.04315210206302745,2.4560957183783936,0.02780476830786585,0.8287371934713791,0.004644054359891659,5
10t,LOVO,2,6.053333871077124,0.38373290355794204,4.539187971212704,0.27363724886712987,-0.6239849177016488,0.2124345784963573,5
20t,LOVO,2,2.155041495051747,0.028495811669586903,1.6219157962406807,0.019879083181092737,0.8793927340507007,0.0031972798796479495,5
30t,LOVO,2,2.1290594809803887,0.03939585560461966,1.6167692794216904,0.02659047758857213,0.8886833810122118,0.004158432493687159,5
40t,LOVO,2,2.1146248065932376,0.022643057114219222,1.6058093254469548,0.010711218188801467,0.8935661839525153,0.0022847191647159064,5
50t,LOVO,2,2.1399923365681466,0.03098156443514549,1.626499949666572,0.022488459732966266,0.8944846848372519,0.003045709734104921,5
r0,LORO,2,2.0977345277965513,0.023453954407601587,1.5842115649843653,0.013094193239186288,0.8844170461315691,0.0025847943436832312,5
r1,LORO,2,2.0845846444085487,0.020999748644981258,1.5691329593166516,0.011235653276233831,0.8855255180539114,0.0023022140520853936,5
r2,LORO,2,2.0899164768130847,0.0203957685251773,1.5777460236846956,0.016585768363096658,0.8861685722853572,0.002231295327444593,5
r3,LORO,2,2.0503312190293452,0.01994567875512426,1.5552609478308184,0.018681883435569927,0.8888135809661979,0.0021590192154250882,5
r4,LORO,2,2.0735698311365764,0.019405037663907294,1.5612193387457391,0.020207680721334404,0.8865108908831015,0.0021281614767584955,5
r5,LORO,2,2.0840563792275595,0.005779895019775289,1.5675943820617042,0.0076083867156977155,0.8861709900526963,0.0006316420471596624,5
ID,ID,3,3.2746753197925984,0.010424878191157831,2.4595236918308183,0.009682285711005044,0.7185364744176093,0.0017911936299291095,5
Hs=3,LOHO,3,2.077887817129818,0.010072731980272202,1.7061013381275578,0.01025841416087498,0.6565477533996914,0.003334267543352363,5
Hs=5,LOHO,3,3.22062661812977,0.03743320024751519,2.586953429088754,0.036960523369020594,0.6495173640079115,0.008189120437551737,5
Hs=7,LOHO,3,4.598509647734517,0.05603354705627303,3.574041238974695,0.03911882037210127,0.6362850339843407,0.00887579989651514,5
10t,LOVO,3,4.408831329355719,0.10881377965913415,3.414264339698638,0.07534684005377575,0.1408576723106931,0.0424409609766382,5
20t,LOVO,3,3.4828545567376614,0.015868081471697333,2.6379945218228826,0.015567618504673406,0.6849267451398662,0.0028773835320908083,5
30t,LOVO,3,3.4826673520265503,0.007633154076389418,2.6546856527633884,0.010732869623907246,0.702245155821682,0.0013053083158559345,5
40t,LOVO,3,3.4067790921206735,0.020733422900680754,2.6012235273968667,0.00643714381748946,0.7237416669381698,0.003375640549165723,5
50t,LOVO,3,3.369688731146627,0.020408163601914907,2.570447328887494,0.013058680260216508,0.738382969235776,0.0031686122594655583,5
r0,LORO,3,3.2704046346034374,0.010645648822138597,2.463251440343087,0.013123756495819915,0.7190273730869123,0.0018295920831556305,5
r1,LORO,3,3.270798113413862,0.009891045171716423,2.460346110430377,0.005279350088732613,0.7181745027751848,0.0017078564143634197,5
r2,LORO,3,3.2787314778795222,0.0070855854603780665,2.469250284409446,0.004669620565290601,0.7197948280802846,0.0012106226484116744,5
r3,LORO,3,3.2661563948106886,0.00878076965352903,2.4487988586954077,0.007044038121524492,0.7178833059166465,0.0015175126328276093,5
r4,LORO,3,3.2769821392396934,0.013648681520976596,2.4569453707416584,0.006292757375326139,0.7165573469598152,0.0023664512394834724,5
