model,scope,seed,horizon_s,rmse_deg,mae_deg,r2
ID,ID,0,1,1.619688215101195,1.218878274642554,0.931125362721555
ID,ID,0,2,2.086305227210775,1.579770899191382,0.8857233430025404
ID,ID,0,3,3.276470478643636,2.4688336232698442,0.7182300808395861
ID,ID,0,4,4.698099276007379,3.5347829185163104,0.4209391799866882
ID,ID,0,5,4.67567198528488,3.5270325999040812,0.42722221866344523
ID,ID,0,overall,3.5112779307211457,2.465859663104834,0.6765091969852519
ID,ID,1,1,1.5931163175611063,1.1953885491065421,0.9333666800723504
ID,ID,1,2,2.0810220932452066,1.579009257425781,0.8863013739240208
ID,ID,1,3,3.2678054104552454,2.450754229355868,0.7197184672403336
ID,ID,1,4,4.671364233931768,3.5374140540637504,0.4275108447026408
ID,ID,1,5,4.669463087599785,3.5332831495292174,0.42874240973173694
ID,ID,1,overall,3.4977922776222297,2.4591698478962316,0.6789892668675406
ID,ID,2,1,1.6178167275392568,1.2184948465980345,0.931284434766949
ID,ID,2,2,2.0891650165074513,1.5752134050813433,0.8854098403178239
ID,ID,2,3,3.260540869183504,2.4475624252565082,0.7209632497765126
ID,ID,2,4,4.667318880344846,3.532672463803008,0.428501954862316
ID,ID,2,5,4.660143622472773,3.5290456696369565,0.4310204028843474
ID,ID,2,overall,3.4961084737924666,2.4605977620751704,0.6792982554858364
ID,ID,3,1,1.599463112144931,1.1988185884303755,0.932834703344636
ID,ID,3,2,2.080950157130873,1.568173379940939,0.8863092343845381
ID,ID,3,3,3.2843656356106425,2.4664829148370404,0.7168705092925252
ID,ID,3,4,4.680753291969725,3.518130283180157,0.42520721971244513
ID,ID,3,5,4.664321814556119,3.5286606702164334,0.4299996739267915
ID,ID,3,overall,3.5026002570086403,2.456053167320988,0.6781061533868473
ID,ID,4,1,1.6139285840721562,1.218718338898685,0.9316143298852504
ID,ID,4,2,2.1202820693607594,1.5987792482739325,0.8819708943915661
ID,ID,4,3,3.2841942050699635,2.4639852664348307,0.7169000649390888
ID,ID,4,4,4.698738740511964,3.542661146227316,0.4207815357910716
ID,ID,4,5,4.704894005679312,3.573466663598144,0.4200403514219675
ID,ID,4,overall,3.5242152732492973,2.4795221326865824,0.6741209944842779
Hs=3,LOHO,0,1,1.0972704738706385,0.8846963336424483,0.9042379723095271
Hs=3,LOHO,0,2,1.4678223524349088,1.1995857157443734,0.8286295749868797
Hs=3,LOHO,0,3,2.0682732496295526,1.6981639002781734,0.659725163801883
Hs=3,LOHO,0,4,3.3245149103040665,2.811228783750417,0.12068209459698198
Hs=3,LOHO,0,5,3.383898687919956,2.8608140841777576,0.08894384444542025
Hs=3,LOHO,0,overall,2.4551753055620895,1.890897763518633,0.5204888229741886
Hs=3,LOHO,1,1,1.026541738908452,0.8223103315324498,0.9161854974087814
Hs=3,LOHO,1,2,1.5424744669220602,1.259768671557432,0.8107548111314742
Hs=3,LOHO,1,3,2.093391123583813,1.7227475388702178,0.6514101316464198
