representation,horizon_s,rmse_deg,mae_deg,r2
direct,1,1.6076597265480053,1.2090649038322716,0.9321416493219388
direct,2,2.073622484634844,1.566051161066688,0.887105726150183
direct,3,3.2759990743739045,2.4685270229203136,0.7183097687523208
direct,4,4.677800258187953,3.5324082208222585,0.42592940530742585
direct,5,4.662440344663745,3.5268033731377018,0.43045777506660593
direct,overall,3.499629626390727,2.460570936355847,0.6786507867352622
reconstruction,1,1.6088723759406065,1.1905373810521598,0.9320132009360741
reconstruction,2,2.0416012575951665,1.5190354008113076,0.8905467674099603
reconstruction,3,3.4058101235857405,2.5153144039204838,0.6955413782493787
reconstruction,4,5.068520379049227,3.699423284990418,0.32599253350121804
reconstruction,5,5.056483903512891,3.699954915693566,0.3300860499081197
reconstruction,overall,3.7313799985920375,2.524853077293587,0.6346673928456961
gz,1,1.6233008162390277,1.2204335664075756,0.9308122522872988
gz,2,2.1058257216159015,1.5882413999120535,0.8835659454034583
gz,3,3.274663408632139,2.465653031743987,0.7185406234586683
gz,4,4.682398267816444,3.538101730193271,0.42479892072437575
gz,5,4.68158371852031,3.540431043776946,0.4257671245409943
gz,overall,3.5109986978983727,2.4705721544067663,0.6765580855321901
