representation,horizon_s,rmse_deg,mae_deg,r2
direct,1,1.619688215101195,1.218878274642554,0.931125362721555
direct,2,2.086305227210775,1.579770899191382,0.8857233430025404
direct,3,3.276470478643636,2.4688336232698442,0.7182300808395861
direct,4,4.698099276007379,3.5347829185163104,0.4209391799866882
direct,5,4.67567198528488,3.5270325999040812,0.42722221866344523
direct,overall,3.5112779307211457,2.465859663104834,0.6765091969852519
reconstruction,1,1.6033666591544469,1.1872184814202416,0.9325064646696968
reconstruction,2,2.0380608486932936,1.5185326390921894,0.8909473741426449
reconstruction,3,3.401221601436116,2.514004133125932,0.6963649056674269
reconstruction,4,5.058204749271993,3.69539227049379,0.32876806327126484
reconstruction,5,5.086512330328123,3.7253128607372403,0.32214267484307635
reconstruction,overall,3.7349920487432895,2.528092076973879,0.6339748835282868
gz,1,1.6046146029450032,1.2028360969285319,0.9324013596815641
gz,2,2.1009916299840503,1.572482095157456,0.8841087947810821
gz,3,3.278411599223469,2.4717243414089367,0.7178961169534617
gz,4,4.675084760357046,3.5217372518073478,0.42659855906971444
gz,5,4.669784680431114,3.524147369497597,0.42866372031126343
gz,overall,3.504290026390001,2.4585854309599737,0.6777954941450813
