method,picp,mpiw_deg,crps_deg,point_rmse_deg,seed
MC-Dropout,0.9269567939887289,11.37636000467685,1.7959249866483014,3.5167729263698018,0
Deep Ensemble,0.9141296180338134,10.723414835051857,1.7521186714308723,3.4506423365907173,0
Quantile,0.9203663118346901,10.313338420774256,1.3572057024944675,3.4816392745095075,0
MC-Dropout,0.9277144646211647,11.357751084498586,1.7899141842205961,3.503237924721409,1
Deep Ensemble,0.9142204132748905,10.726407765184131,1.7535793551610945,3.4502158541722427,1
Quantile,0.922226048841578,10.328108927737714,1.3705430601211206,3.5407384778872313,1
MC-Dropout,0.9279023168440826,11.383979876630258,1.7917641985306723,3.503403242123029,2
Deep Ensemble,0.9143926111458985,10.702422350528574,1.7488089083303608,3.4438155575289544,2
Quantile,0.9244927989981214,10.411415609379729,1.3631461148246788,3.503630603301664,2
MC-Dropout,0.9271790857858485,11.35528466404623,1.789337702994708,3.5084387673927733,3
Deep Ensemble,0.9128021289918598,10.688750333369986,1.7519684743329187,3.4508911848083073,3
Quantile,0.9207576706324359,10.22001973265895,1.3505792608910037,3.4734470729535407,3
MC-Dropout,0.9278083907326237,11.497548407093003,1.8069177175049933,3.530654157532138,4
Deep Ensemble,0.9139167188478396,10.709876977616913,1.7505276711279845,3.4471130082857,4
Quantile,0.9292266750156544,10.507302445773487,1.351413120047529,3.4904271815937014,4
